tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
319675813,319675814,10,321ab16c28e3eca40d1055da1cafca3aedce0ccf,ruby,broken,3,ruby,,false,,,0,,,,,,,,,9592
327962828,327962829,12,e3e8c1c73b8bc90ad01c3fcd600431ac262c98de,ruby,broken,4,ruby,,false,,,0,,,,,,,,,9627
327962830,327962831,13,e3e8c1c73b8bc90ad01c3fcd600431ac262c98de,ruby,broken,3,ruby,,false,,,0,,,,,,,,,9627
327962970,327962971,14,e3e8c1c73b8bc90ad01c3fcd600431ac262c98de,ruby,broken,3,ruby,,false,,,0,,,,,,,,,9627
328020638,328020639,15,7eccaf91fab61e118e70e55f33d980b888b2f9ee,ruby,broken,3,ruby,,false,,,0,,,,,,,,,9633
328020883,328020884,16,7eccaf91fab61e118e70e55f33d980b888b2f9ee,ruby,broken,2,ruby,,false,,,0,,,,,,,,,9633
328020903,328020905,17,7eccaf91fab61e118e70e55f33d980b888b2f9ee,ruby,broken,3,ruby,,false,,,0,,,,,,,,,9633
328410044,328410045,18,d893d14bc90642355a9beb98c4b084b2e6ba8740,ruby,broken,5,ruby,,false,,,0,,,,,,,,,9641
328410275,328410276,19,d893d14bc90642355a9beb98c4b084b2e6ba8740,ruby,broken,3,ruby,,false,,,0,,,,,,,,,9641
328410279,328410280,20,d893d14bc90642355a9beb98c4b084b2e6ba8740,ruby,broken,4,ruby,,false,,,0,,,,,,,,,9641
339334552,339334553,21,d893d14bc90642355a9beb98c4b084b2e6ba8740,ruby,broken,3,ruby,,false,,,0,,,,,,,,,9641
339351448,339351449,22,a889770d3019f642dcedf1be27585b1dffd043ad,ruby,broken,6,ruby,,false,,,0,,,,,,,,,9650
339351944,339351945,23,a889770d3019f642dcedf1be27585b1dffd043ad,ruby,broken,3,ruby,,false,,,0,,,,,,,,,9650
371913317,371913318,24,cd3d6a434ca872fc3f450653aa36527cf1bdc74e,ruby,broken,3,ruby,,false,,,0,,,,,,,,,9650
371913734,371913735,25,cd3d6a434ca872fc3f450653aa36527cf1bdc74e,ruby,broken,6,ruby,,false,,,0,,,,,,,,,9650
371913738,371913739,26,cd3d6a434ca872fc3f450653aa36527cf1bdc74e,ruby,broken,3,ruby,,false,,,0,,,,,,,,,9650
269843678,269843679,4,2e8e3f87854e59e03b32ec54d955357e68ea34c4,ruby,broken,4,ruby,,false,,,0,,,,,,,,,9590
269844398,269844399,5,2e8e3f87854e59e03b32ec54d955357e68ea34c4,ruby,broken,5,ruby,,false,,,0,,,,,,,,,9590
269844402,269844403,6,2e8e3f87854e59e03b32ec54d955357e68ea34c4,ruby,broken,5,ruby,,false,,,0,,,,,,,,,9590
