tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
558243212,558243213,1981,a668e9cfb096bb7b9c93acf2309315668f9c63dd,java,ok,1,java-maven,junit,true,false,614,0,614,0,,,,,0,,12726
564384859,564384861,2005,8324de8859aa36bcce4a0e1868a0834989a66da7,java,ok,1,java-maven,junit,true,false,613,0,613,0,,,,,0,,12726
568231969,568231970,2032,f9fea68ba5cbc7a085b13852ec29daad8ff52cc5,java,ok,4,java-maven,junit,true,false,614,0,614,0,,,,,0,,12726
571162667,571162669,2058,c202009e785be9cf27dcfa0f7e0e8999aff27818,java,ok,1,java-maven,junit,true,false,624,0,624,0,,,,,0,,12965
580569630,580569632,2109,be30b6084585d49c262ad41c67f981d800ece74f,java,ok,1,java-maven,junit,true,false,671,0,671,0,,,,,0,,13420
583617525,583617526,2137,12ac47334783f440f968cf4450d437eca9678658,java,ok,2,java-maven,junit,true,false,672,0,672,0,,,,,0,,13420
590816333,590816336,2160,2d19d331f18ea434564a535fb4e88d378f1306ca,java,ok,1,java-maven,junit,true,false,671,0,671,0,,,,,0,,13420
592509374,592509375,2189,f060568bced0088cb2914505a27a2ffd187a4553,java,ok,1,java-maven,junit,true,false,672,0,672,0,,,,,0,,13434
597493378,597493380,2215,287c0ace03e42342edbc5deba2b8be7755fca47c,java,ok,1,java-maven,junit,true,false,672,0,672,0,,,,,0,,13449
604326398,604326399,2241,4952ed798e5299122e82c2c94ef9e433e87d7a55,java,ok,1,java-maven,junit,true,false,673,0,673,0,,,,,0,,13449
609265910,609265912,2265,a14c923163faaac1c0cfd8419f10b25c7d6c4b37,java,ok,1,java-maven,junit,true,false,672,0,672,0,,,,,0,,13449
