tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
47242893,47242894,100,48d70665eb86ff64d0cd779828fe53752bf9a330,python,ok,0,python,pytest,true,false,6,0,6,0,,,,,49.16,,1140
48926321,48926328,115,3fbc98cde0bb0ae84e0feed8f573a7e9aa50d003,python,unknown,0,python,,false,,,,,,,,,,,,1032
51018527,51018533,129,84230b9e098cf6b6fec09e8eede476924f2ced99,python,ok,0,python,pytest,true,false,7,0,7,0,,,,,27.99,,1097
70245812,70245816,179,35137b9fe0d66babb06482ced79ce56fa2e0dc6a,python,ok,0,python,pytest,true,false,7,0,7,0,,,,,40.61,,1263
102691439,102691443,214,7e2185b9939939dbb96506662c334080044ea9f1,python,ok,1,python,,false,,,,,,,,,test_track,,,1361
122114454,122114455,248,60d9b9d41d132ee86318845c016d3ec497ae0801,python,ok,1,python,pytest,true,false,9,0,9,0,,,,,28.8,,1423
191994566,191994568,353,d435b1659f8c909b18bfde99a2dca324353dd118,python,ok,1,python,pytest,true,false,28,0,28,0,,,,,58.32,,1977
265726293,265726294,413,eaed4abbe52ca8f4688f8b3e31b66667e7004435,python,ok,1,python,pytest,true,false,34,0,34,0,,,,,62.28,,2318
41379637,41379641,44,f6ccea97453b6525e0d736c8a5e800e5f51dad50,python,broken,0,python,pytest,true,true,7,1,8,0,,,,test_scape,48.5,,853
338282622,338282629,486,13b263051264c0821bf2d8b3963c06a900b2839e,python,unknown,1,python,pytest,true,true,36,1,37,0,,,,test_version,60.59,,2729
369453341,369453342,521,bee6eb0acc9ae05cf291a59fb9999acbf667e90b,python,ok,1,python,pytest,true,false,37,0,37,0,,,,,149.18,,2851
408224482,408224484,559,14be9ec0b2117e141017d43ce1f9f39ba06dbd00,python,ok,1,python,pytest,true,false,38,0,38,0,,,,,94.82,,2976
493458906,493458908,594,b79f14a5a939ec913ce6b25c1dc605b61595a7d4,python,unknown,1,python,pytest,true,true,40,2,42,0,,,,test_user_lookup_by_user_id#test_user_lookup_by_screen_name,147.8,,3294
43728399,43728405,62,67e0ccd4d2e095b003d823f5e19bf5a06a4fdfcc,python,ok,0,python,pytest,true,false,8,0,8,0,,,,,512.58,,1002
43745767,43745769,67,7e623dbdb468bf90b2e4bbf46e46c6f9c757582b,python,ok,0,python,pytest,true,false,7,0,7,0,,,,,47.54,,952
747057953,747057954,736,cb1ce7578b42070cb9842a83dae44a0cee0d40a4,unknown,unknown,,plain,,false,,,,,,,,,,,,4067
45463438,45463445,84,167824891f725084e94c7ef93a9bcafc93bdd837,python,broken,0,python,pytest,true,false,0,0,0,0,,,,,0.07,,1091
