tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
215149499,215149501,128,bb50976ce21d6f84be19f3f05cdde33892043d76,python,ok,1,python,unittest,true,false,110,0,110,0,,,,,23.25,,19235
240221334,240221336,150,0abff36cfaff89fb3d9e5adbc89a0068719ed5e5,python,ok,1,python,unittest,true,false,110,0,110,0,,,,,25.19,,19276
273806551,273806552,228,67728e73d78c55f75214b95b5d8f93e487ea4363,python,ok,1,python,unittest,true,false,110,0,110,0,,,,,24.0,,19681
309895468,309895469,270,7b271381e8eabcc412827a3d4c46bcd760a48de4,python,ok,1,python,unittest,true,false,98,0,98,0,,,,,6.44,,20139
347622500,347622501,312,ee940cfa854a8c7fe125c9fecb6ca7985023d622,python,ok,1,python,unittest,true,false,134,0,134,0,,,,,23.48,,22439
402512043,402512044,355,3ff504461d1fc71d9ddde119b43c17e7ee1a743b,unknown,unknown,,plain,,false,,,,,,,,,,,,22560
499533730,499533731,525,a389b8b4a0e209023c4533a7ee335096a704079c,python,ok,5,python,unittest,true,false,122,0,122,0,,,,,10.68,,23153
517620101,517620102,572,5dd7fc8c6e592b7bb02ca67fe5c39c5504c4c2bf,python,ok,1,python,unittest,true,false,122,0,122,0,,,,,9.97,,23254
532643740,532643741,614,86d9b578778faa139f9ed5c21da6a25b7fddbce2,python,ok,2,python,unittest,true,false,131,0,131,0,,,,,11.86,,23390
199512782,199512783,69,dc022142cf769dd80acc5831e2fd19256daf8cb3,python,broken,1,python,unittest,true,true,109,1,110,0,,,,tests.test_sync.test_decks,22.76,,19182
626485538,626485540,779,0663c343b45e1119e0127b0c9cf266c8fbdaa6e4,python,ok,1,python,unittest,true,false,134,0,134,0,,,,,5.91,,23667
