tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
416064617,416064618,1133,1ef2481109facc7dc680b69990e23b629edeeff7,python,ok,1,python,,false,,,,,,,,,,,,16149
427050931,427050932,1193,06bd0923a22300334bcdc6d270e1592b341e3de9,python,ok,1,python,,false,,,,,,,,,,,,16364
432790042,432790043,1223,a0c8ce5959ca8a5c78ff605885a35ec43bcec317,python,ok,1,python,,false,,,,,,,,,,,,16377
451875456,451875457,1283,e6c1f2dccc9e8596bfd17d7503a91830a03f2dee,python,ok,1,python,,false,,,,,,,,,,,,16409
458886714,458886715,1343,368a9a37b3125aba35246868c81f09f32ec7c231,python,ok,1,python,,false,,,,,,,,,,,,16552
475192142,475192143,1423,2bdaf650f5f6458e6ca6fe56a92823dbcff2ce90,python,ok,1,python,,false,,,,,,,,,,,,16729
478602510,478602511,1453,091e6f7a61fdd50f06c37bf3140e84ff0c6b26b4,python,ok,1,python,,false,,,,,,,,,,,,16802
490241454,490241455,1513,c9a896845d336fc3a3c60c88591051650b143cc1,unknown,unknown,,plain,,false,,,,,,,,,,,,17136
502771579,502771580,1573,5641923ec567349ddb96aa207b0392a1464c9357,python,ok,1,python,,false,,,,,,,,,,,,17346
516543409,516543410,1603,5b2b6428d5e15d67e641e8ad630469fed5b070df,python,ok,1,python,,false,,,,,,,,,,,,17327
532210009,532210010,1663,2303bada3ae2e2758f0cb2b704c1aff19d609ea0,python,ok,1,python,,false,,,,,,,,,,,,16887
548119792,548119793,1693,06875b963a48cbdcc81662116639dc2ead41a02c,python,ok,1,python,,false,,,,,,,,,,,,16987
556647440,556647441,1723,a346af59e9d35d51e9b45cfcb6a99824719af295,python,ok,1,python,,false,,,,,,,,,,,,17007
