tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
594928351,594928353,5107,c78db6e651c6589e8a01aef03f91c68abb91b7b5,python,broken,5,python,pytest,true,false,16,0,16,0,,,,,2423.0,,21483
601087504,601087507,5132,c78db6e651c6589e8a01aef03f91c68abb91b7b5,python,broken,5,python,pytest,true,true,551,1,552,0,,,,,1241.55,,21483
605853103,605853105,5164,2b31feb8632aeb184fd26d8450e257c7ba0143ec,python,broken,5,python,pytest,true,true,544,1,545,0,,,,,366.32,,21496
615880826,615880829,5250,973a8ba93dc3efae95fa54bb442f62ba88e2ebe8,python,broken,5,python,pytest,true,true,544,1,545,0,,,,,369.66,,21514
622187086,622187088,5280,973a8ba93dc3efae95fa54bb442f62ba88e2ebe8,python,broken,5,python,pytest,true,false,559,0,559,0,,,,,2540.6,,21514
628588244,628588245,5306,973a8ba93dc3efae95fa54bb442f62ba88e2ebe8,python,broken,4,python,pytest,true,false,16,0,16,0,,,,,2107.91,,21514
633142601,633142604,5338,973a8ba93dc3efae95fa54bb442f62ba88e2ebe8,python,ok,4,python,pytest,true,false,559,0,559,0,,,,,2257.51,,21514
638739223,638739226,5385,053b8eeda1fef2a54b94ae764afc51700706ed1e,python,ok,4,python,pytest,true,false,559,0,559,0,,,,,2143.0,,21514
642227336,642227338,5400,053b8eeda1fef2a54b94ae764afc51700706ed1e,python,unknown,4,python,,false,,,,,,,,,,,,21514
646267156,646267161,5429,ca0eb7fee6a902722b3c42b5d66a0872da231606,python,broken,5,python,pytest,true,false,559,0,559,0,,,,,2216.2200000000003,,21586
651832976,651832978,5467,bcda5699670ea66e3919cf6fe197e03971110b80,python,broken,5,python,pytest,true,false,559,0,559,0,,,,,2487.8500000000004,,21586
658071682,658071683,5511,bcda5699670ea66e3919cf6fe197e03971110b80,python,unknown,5,python,,false,,,,,,,,,,,,21586
663008241,663008244,5531,d453fe045918576710290fd68109f6c51c2f3e07,python,broken,5,python,pytest,true,false,548,0,548,0,,,,,568.76,,21586
665475296,665475299,5556,97aa50c827e9ff0da30c2988efb378131d9e9f8a,python,broken,5,python,pytest,true,false,559,0,559,0,,,,,2228.77,,21586
670931026,670931027,5580,41772bcb68b0e4bfb216f6541b5dde72c8c53f7a,python,unknown,4,python,,false,,,,,,,,,,,,21586
676579981,676579984,5600,41772bcb68b0e4bfb216f6541b5dde72c8c53f7a,python,broken,4,python,pytest,true,true,544,1,545,0,,,,,309.43,,21586
681952819,681952822,5623,f33b600dc77ae9f295c05015e2af9045f3a74088,python,ok,5,python,pytest,true,false,559,0,559,0,,,,,2331.7,,21586
687022058,687022059,5649,482f9d47555808814cb8c6d235bd83cf8ec774d3,python,unknown,5,python,,false,,,,,,,,,,,,21586
692175047,692175078,5697,482f9d47555808814cb8c6d235bd83cf8ec774d3,python,broken,5,python,pytest,true,true,553,1,554,0,,,,,1517.8500000000001,,21586
