tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
80701367,80701369,135,24e42f65b7fb0e75be6f1ea0ae3501bef0cc8064,python,ok,1,python,pytest,true,false,81,0,81,0,,,,,0.75,,3327
291528456,291528460,306,93e5d7b7c1d8f2aeb4b56d8d009f5ee83ec5abee,unknown,unknown,,plain,,false,,,,,,,,,,,,3790
391220574,391220576,354,340a98d13988619c96f45ea6e309e69936868f78,unknown,unknown,,plain,,false,,,,,,,,,,,,3848
448285110,448285116,377,f340b761aa3a4a6f6b456833cc29ef1b05cd9c14,unknown,unknown,,plain,,false,,,,,,,,,,,,3862
1317518,1317523,3,862bf162dda6fa44205f6f9c3b2ff3a514df077a,unknown,unknown,,plain,,false,,,,,,,,,,,,1452
553258553,553258557,423,f340b761aa3a4a6f6b456833cc29ef1b05cd9c14,python,unknown,1,python,pytest,true,false,94,0,94,0,,,,,1.31,,3862
610829089,610829092,448,f340b761aa3a4a6f6b456833cc29ef1b05cd9c14,python,broken,1,python,,false,,,,,,,,,TestFuzzing.test_main#summary,,,3862
677668562,677668567,497,14ff684d2c85f4f962381f978b27417a9c26b902,python,ok,1,python,,false,,,,,,,,,,,,3869
714792926,714792935,515,8047148a7b0b6904881406944b1a00032885035f,python,ok,0,python,pytest,true,false,94,0,94,0,,,,,6.69,,3870
746968988,746968993,533,07e4ac2cff349bb76171e5ca4ab4313321b1729b,python,ok,1,python,,false,,,,,,,,,,,,3869
26696244,26696247,61,1af0a0760ed622b820471768a19017dcbb216d12,python,ok,,python,pytest,true,false,73,0,73,0,,,,,1.0,,3021
