tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
212005788,212005789,100,7b70b4c47a282e988269fe77710726e0d58be0dd,python,ok,0,python,,false,,,,,,,,,,,,17005
229826867,229826869,135,ff22e1a28c911575263ac5d3ffafa3a2bfacc536,python,ok,1,python,,false,,,,,,,,,,,,17183
245630299,245630301,170,a5e46fb3ae3c9733cfbfcdf39dbdba7eae902827,python,ok,1,python,,false,,,,,,,,,,,,17290
268242217,268242219,204,e824fb58541a69dc38440e24d6c8c4e070cd41f0,python,ok,0,python,,false,,,,,,,,,,,,17540
179984709,179984710,23,c009ca4e14a606d6d83dac447ef8977370913593,unknown,unknown,,plain,,false,,,,,,,,,,,,16267
312246573,312246579,274,bad3c928e28fc92e79a2bcdd5debde0f2b118906,python,ok,1,python,,false,,,,,,,,,,,,17897
333174417,333174418,309,bbb43894b1ab639d9d7e0df97989beb471edc468,python,ok,2,python,,false,,,,,,,,,,,,18215
352684396,352684398,343,4732d0abb7a9ac0b539b09595450aadd3f1d3181,python,ok,1,python,,false,,,,,,,,,,,,18476
373845917,373845918,379,7ad47cbf5024490695664c4fb3c7ea794755c45f,python,ok,1,python,,false,,,,,,,,,,,,18718
392557038,392557040,412,244c52f5dbbb374022a13e8c230efa5ad61d4e7f,python,ok,1,python,,false,,,,,,,,,,,,18882
415770319,415770320,448,3b52ad6dbbbcabfb85c885f833e56c21410fe8c0,python,ok,1,python,,false,,,,,,,,,,,,19103
433905518,433905520,482,b858c7d37a593f1ec38444c0a4784dcdbe9eb90c,python,ok,1,python,,false,,,,,,,,,,,,19381
455345737,455345738,517,1124865be7aaabbb75897bf193b883f7f99f961a,python,ok,1,python,,false,,,,,,,,,,,,19591
481212066,481212068,551,e541c8ceee4e9ba012886a4c2c275a7d03036c6c,python,ok,1,python,,false,,,,,,,,,,,,19675
511325858,511325859,587,2f83f08d28806fab55a59a2fb6c9ce89a1fc7b9c,python,ok,1,python,,false,,,,,,,,,,,,19772
534644787,534644789,620,46e1348af71b9db62e8c1555ab1822691e137e4c,python,ok,1,python,,false,,,,,,,,,,,,19886
557181623,557181624,656,6065c1f1763938553b273b7dfac6218ae86d851a,python,ok,1,python,,false,,,,,,,,,,,,19899
591320538,591320540,702,a00a6fcf28655fcff2cae7cbb66b733ff7467e3f,python,ok,1,python,,false,,,,,,,,,,,,20805
678026971,678026972,767,c2d6604a62c776a9260efb0eae4fa826fe0f26ad,python,ok,1,python,,false,,,,,,,,,,,,21038
202502332,202502333,82,f77a4a855abd74f8997dafc8ab8d6bb4b61830b1,python,ok,1,python,,false,,,,,,,,,,,,17099
