tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
234649306,234649312,114,038fa5a161f38c840b881367bcd28845a417045b,python,ok,2,python,pytest,true,false,16,0,16,0,,,,,2.4,,643
235640425,235640426,135,70c7ce1c611f889c8f491b467a3b2d773624f984,unknown,unknown,,plain,,false,,,,,,,,,,,,693
381114114,381114120,148,7d1bd27a5a2b6fe0a239e1b22bcfec6fa34e327e,unknown,unknown,,plain,,false,,,,,,,,,,,,693
381204958,381204986,161,66c298c28a3f9c5fbfb4263f442f75d1ab59dc04,unknown,unknown,,plain,,false,,,,,,,,,,,,716
399091836,399091838,195,b30b573b7565323c1d218903fb7ab831cc908fd9,python,ok,1,python,pytest,true,false,204,0,204,0,,,,,16.54,,515
405134439,405134446,203,45511f2235115fd141c088dbd03859d8c89bb7f5,python,ok,1,python,pytest,true,false,204,0,204,0,,,,,17.450000000000003,,515
412693466,412693487,210,3815e0f5a318f18c9a05ca1bfc38ea374e91b520,python,ok,1,python,pytest,true,false,204,0,204,0,,,,,18.4,,515
412749822,412749854,212,4353c58ec34a58d4ffcb35153bede9a632d02759,python,ok,1,python,pytest,true,false,228,0,228,0,,,,,19.220000000000002,,527
449406246,449406275,215,2070d26c74ffd49b58bcf1021cea77e7da25c43c,python,ok,1,python,pytest,true,false,228,0,228,0,,,,,17.86,,534
450023198,450023227,217,0128e8d5130cd83c2fe372c9935402c106834594,python,ok,1,python,pytest,true,false,228,0,228,0,,,,,19.59,,534
523940785,523940792,220,91c4c19e482112b0e5ff8851132b7a4de036a1d8,unknown,unknown,,plain,,false,,,,,,,,,,,,534
540067029,540067047,222,91c4c19e482112b0e5ff8851132b7a4de036a1d8,python,ok,1,python,pytest,true,false,285,0,285,0,,,,,22.26,,534
