tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
37138093,37138094,103,6a682c543167f10ce31a04f237323f77ec2743ec,ruby,ok,25,ruby,,false,,,0,,,,,,,,,3149
39072852,39072853,123,40c8a7b3e590d007947a5648dd13ed0a88ddaa65,ruby,unknown,26,ruby,,false,,,0,,,,,,,,,3153
48696497,48696501,172,cef38662f9094f8dc0d1935ee379d33191c5b4ec,objective-c,unknown,33,plain,,false,,,,,,,,,,,,3970
111306832,111306833,210,b8828caea7ccb377a8de723fd39065ed05ebe1ca,objective-c,unknown,76,plain,,false,,,,,,,,,,,,4663
140225795,140225797,264,b87f117b4c46a8df2bdcabde40344262cdcab925,objective-c,unknown,11,plain,,false,,,,,,,,,,,,5153
143608052,143608053,280,116c453f6df4664c97e1f17ef6f0f3e6c806733a,objective-c,unknown,13,plain,,false,,,,,,,,,,,,5438
159104555,159104556,292,ebd93f55f5f61658dd0de4bdd1b6133e12c949da,objective-c,unknown,12,plain,,false,,,,,,,,,,,,5643
166089044,166089045,308,71bf2b2b357a761643d6754eac4d66ec2c073613,ruby,unknown,6,ruby,,false,,,0,,,,,,,,,5727
227149354,227149355,337,99173fd86454427431e3e05660bd974743fc8b04,ruby,unknown,74,ruby,,false,,,0,,,,,,,,,5939
33101958,33101959,34,271415802284744a280612ca8170631000985bd3,unknown,unknown,,plain,,false,,,,,,,,,,,,2390
274577562,274577564,363,f84c2cc3121f58a88bce487e5fe5de0ad1e54c99,ruby,unknown,140,ruby,,false,,,0,,,,,,,,,5951
33108486,33108487,37,52e1b2dfcc9f20495b44a4a7fb02ac62fbebd181,ruby,ok,,ruby,,false,,,0,,,,,,,,,2374
318045133,318045134,402,183a2326cfe4fa11af3c1cd186579a35cef1792b,ruby,unknown,90,ruby,,false,,,0,,,,,,,,,6143
689440820,689440821,469,a2ccc2b10dbbbffd8dd53b6a22ed226836c11fbe,objective-c,unknown,7,plain,,false,,,,,,,,,,,,6619
32772543,32772544,5,095631265e99a1bc21800bb63ab39d197171f423,ruby,ok,,ruby,,false,,,0,,,,,,,,,2319
