tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
53004540,53004541,100,259a1483c433c2f9a83edad9ec4a360dbba74dfb,java,ok,3,java-ant,,false,,,,,,,,,,,,147735
144296371,144296373,109,c4c55175f63bcf2bd939b0dcc4b1ae34e186660b,java,ok,6,java-ant,,false,,,,,,,,,,,,147735
19947482,19947483,12,8785d0995d680b424372031b4442b7329765e618,java,ok,,java-ant,,false,,,,,,,,,,,,155566
21189764,21189765,18,1d9c63b73e7e72be6f3ed6db59bf7c3849763d36,java,ok,,java-ant,,false,,,,,,,,,,,,155566
17714101,17714102,2,056afce417a77cdab9b1b693d40d336a10169d91,ruby,broken,,ruby,,false,,,0,,,,,,,,,155566
23902244,23902245,53,cc0f1c6e00af5f63fe32beafe4087d232c63fa2d,java,ok,,java-ant,,false,,,,,,,,,,,,155566
35784997,35784998,69,ecddb388ba7e4fea72144544e7bae2633a77d6ef,java,ok,,java-ant,,false,,,,,,,,,,,,155566
35786212,35786213,72,4fed89d5dc3662b1687dbe4a10c342d1ba8cfe25,java,ok,,java-ant,,false,,,,,,,,,,,,155566
36290869,36290870,75,82ebd74635837c64d2b6d1b4b685b0947441320c,java,ok,,java-ant,,false,,,,,,,,,,,,155566
36291647,36291648,78,096e93934a0beb00bfb0e8b1e311e93ec6ecf675,java,ok,,java-ant,,false,,,,,,,,,,,,155566
36389667,36389668,80,920cb7661c04c0edca168a95eb075b5b17ada142,java,ok,,java-ant,,false,,,,,,,,,,,,155566
36395042,36395043,83,d117b74500108cf2ee90108f4ce15776a7e4af16,java,ok,,java-ant,,false,,,,,,,,,,,,155566
36395403,36395404,86,f17acf156d988442a2ed905828bbb6c52ab79c98,java,ok,,java-ant,,false,,,,,,,,,,,,155566
36476339,36476340,89,1806985e34ae6940a81d95a52326d33fd486f828,java,ok,,java-ant,,false,,,,,,,,,,,,155566
36594616,36594617,91,1981e58d758877312f31e7ff9ced1b8bdae3ddc4,java,ok,,java-ant,,false,,,,,,,,,,,,155566
