tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
108223864,108223865,1,8c24939ac8e398fc8b0727ed4fecb12ba46c79dd,python,broken,0,python,,false,,,,,,,,,,,,938
108782676,108782679,27,f427989b2e1202a7fcba5b9639613c604a5ab25e,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.0,,1030
108793519,108793522,31,c4dad368f5dd620d4809c4e0f959290ef5e7369a,python,ok,0,python,unittest,true,false,4,0,4,0,,,,,0.0,,1030
109353039,109353042,41,4c8447f4fb3bdb896824b21d8554a212954064a6,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.0,,1049
112533454,112533455,47,b72520a8382a8236035db603e10696626817a240,python,ok,0,python,unittest,true,false,4,0,4,0,,,,,0.0,,1118
113590306,113590308,51,3e5f4476e619c97987a1b31b90e07b84c6d6f47f,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.0,,1131
492800373,492800374,61,d8f6fc7c926df7f82dc5b78a79ab2f530a1f447f,unknown,unknown,,plain,,false,,,,,,,,,,,,1216
492804383,492804385,63,62af505964bbc8e107ea7f2c7dfec125d2bbc57b,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.0,,1262
492815313,492815314,66,e9b2e9ef39ab5b1b721e0490b3b953d18318589a,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.0,,1262
495906534,495906536,68,4966d48fd6b32a5b9b7764b4cd671c29975c0118,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.0,,1262
586879257,586879259,75,cfaf76c52fa5b5002afb83f3b4692025064f890b,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.0,,1270
