tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
68784916,68784919,206,7108c0a49e05e061431449e3fd3397bbc34a49f7,unknown,unknown,,plain,,false,,,,,,,,,,,,5008
86453117,86453146,239,ef4d0180dd2b98c946c2a8777aad549e95c8ec8f,unknown,unknown,,plain,,false,,,,,,,,,,,,5057
92885518,92885523,267,b2e5b5acd28c891fbdc3bb78631cf7b1cb3ca275,python,ok,1,python,pytest,true,false,141,0,141,2,,,,,10.69,,5376
94729867,94729888,297,b6317982b21f2a96b10b5f73dc6a16b22235d634,python,ok,12,python,pytest,true,false,136,0,136,11,,,,,66.07,,5622
129066093,129066104,326,099280e2665d4839e2083fac0fb5ff41b35a35d4,python,ok,6,python,pytest,true,false,144,0,144,11,,,,,34.65,,5758
134566150,134566164,354,071b41aaec60eed513cf1aee211d4bec5b4156a7,python,ok,4,python,pytest,true,false,144,0,144,11,,,,,13.45,,5758
150552116,150552125,383,f5038a0371cb1f7999477f3dac37416738eb01e0,python,ok,5,python,pytest,true,false,151,0,151,4,,,,,13.87,,5760
174436559,174436571,411,59e3237333d1dda4b1d84708aa13ac10c5a1c231,python,ok,5,python,pytest,true,false,154,0,154,4,,,,,14.07,,5871
204479820,204479831,436,9578d7f4835be590f392ad515c3f96eb8cc329c1,python,ok,4,python,pytest,true,false,151,0,151,7,,,,,14.24,,5875
295275186,295275211,486,fec1913ddc87841da648018deebdbcbcf0ed9a3f,python,ok,3,python,pytest,true,false,151,0,151,7,,,,,14.02,,5893
349338629,349338637,534,628054ae3bb252972265ccb8c935d62ba7bdf1d7,unknown,unknown,,plain,,false,,,,,,,,,,,,5971
10378549,10378551,59,695441ad149844ec67412d33916ed689d6441adb,python,ok,,python,unittest,true,false,111,0,111,9,,,,,3.02,,4463
498713174,498713183,657,b85d9e3ee41edb11e38a37eeaf074444c3798c16,python,ok,8,python,pytest,true,false,380,0,380,28,,,,,27.32,,6177
574676403,574676404,724,708a81ff80983bc083cbafe804c33f556d1e9940,python,ok,6,python,pytest,true,false,198,0,198,14,,,,,14.74,,6347
657748442,657748451,767,bcae0a58177476c395c73d343c7d6f4320ec594c,python,ok,3,python,pytest,true,false,410,0,410,16,,,,,28.18,,6349
7421000,7421009,7,e394c1889eccb5806a480033dca467da51d515e5,python,ok,,python,unittest,true,false,103,0,103,9,,,,,2.82,,4457
