tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
501530266,501530267,1001,b719185ad29ad8aa7b5b156b3954366a30c71b83,python,ok,11,python,,false,,,,,,,,,,,,155369
523892349,523892355,1009,87f94347173ee0fef269c2a8bbba15226d511a98,ruby,ok,41,ruby,,false,,,0,,,,,,,,,157998
532744062,532744064,1018,da5f1cf85a0c2026c4ec059f21b4594c72becdee,ruby,unknown,43,ruby,,false,,,0,,,,,,,,,158010
535911455,535911466,1026,399e078ed522bf0555a2666fb086aa7809d54971,ruby,ok,60,ruby,,false,,,0,,,,,,,,,158142
544223388,544223391,1037,b03d9aeb784b3164ee2c9055431517f15ffb4b7a,ruby,ok,35,ruby,,false,,,0,,,,,,,,,158814
550232336,550232343,1045,ef3062e1599daa498c10e8f56c0731efa54ea902,ruby,ok,116,ruby,,false,,,0,,,,,,,,,159540
552818087,552818091,1055,4d713255b7cd08c80ae2164b387117dfc182c147,ruby,ok,36,ruby,,false,,,0,,,,,,,,,159637
559499008,559499009,1064,03fb57bd17f95580c3da12b60d3e5f50f178a7ba,python,ok,16,python,,false,,,,,,,,,,,,129865
570961327,570961332,1072,595de3d0168513dd97916b622472822ba916b6a3,ruby,ok,74,ruby,,false,,,0,,,,,,,,,133942
571260697,571260699,1081,2a2ea891b3927775872904cdd402a18e7bb3d143,ruby,unknown,109,ruby,,false,,,0,,,,,,,,,134033
589565705,589565712,1089,4fb39cd50438dff381c5f49af4cc9eac4b01ae40,ruby,ok,80,ruby,,false,,,0,,,,,,,,,136205
614817249,614817254,1133,fb7c8d2b69fee32e7fe2a6ab6ca25eb2464d9972,ruby,ok,48,ruby,,false,,,0,,,,,,,,,137317
650345579,650345584,1148,e08f54d415b39bb9a8571e56ece910d08d065d42,ruby,ok,38,ruby,,false,,,0,,,,,,,,,139600
689464009,689464014,1168,f0c26b1e83e77a8f53f7b7aef706b418061682ae,ruby,unknown,3,ruby,,false,,,0,,,,,,,,,141861
703581047,703581052,1201,a92eb6a6bc1ad7a8cebe607934f8a3f4963f6285,ruby,ok,43,ruby,,false,,,0,,,,,,,,,145378
712501746,712501751,1226,7122386425c67e913ad15b4d344486d5a60cb74a,ruby,ok,46,ruby,,false,,,0,,,,,,,,,145988
729311108,729311113,1274,9a96b96bec76fd06e4f43e3a46cb7450c06e4b88,ruby,ok,48,ruby,,false,,,0,,,,,,,,,148884
731722551,731722556,1306,252af5d85f02121a75f8d83ebbee8e3d7e4f5fc9,ruby,ok,46,ruby,,false,,,0,,,,,,,,,151439
745706587,745706592,1342,fbece0aff5a08e0bad55ecd203c72d56916c434e,ruby,ok,51,ruby,,false,,,0,,,,,,,,,152730
752120025,752120030,1365,2f3657cc6603a441b747c4ed13edbed8d45ccb4e,ruby,broken,33,ruby,,false,,,0,,,,,,,,,153577
