tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
59498831,59498832,100,ed2fa5d1365dc384ed84b572782bda8bc429400d,python,ok,0,python,pytest,true,false,28,0,28,0,,,,,1.06,,781
9529010,9529012,11,a529a3b77aee10935a1550e609f9ba9eb688075e,python,ok,,python,,false,,,,,,,,,,,,138
64500442,64500445,136,c7927b9a3550e7fa998a810a5d77d39160d58c88,python,ok,0,python,pytest,true,false,129,0,129,0,,,,,3.63,,822
106736766,106736768,147,041cacbaac46f9f3a8de35f837aad2a21b5714dd,python,ok,1,python,pytest,true,false,263,0,263,0,,,,,0.72,,827
129829230,129829236,163,21d964ee2fa1da0450bab95391c566b2d87d0622,python,ok,1,python,pytest,true,false,263,0,263,0,,,,,0.82,,873
139352384,139352386,171,23bedb098b09d3e3eed00e42c88b61e76593472e,python,ok,1,python,pytest,true,false,266,0,266,0,,,,,0.78,,833
159320467,159320469,180,ea9a4c6e9382773778b5d99bff42fd5bb7d7b4ae,python,ok,1,python,pytest,true,false,266,0,266,0,,,,,0.88,,831
176465209,176465212,204,7883b42dfabad0123752371e2a966b5244e38a86,unknown,unknown,,plain,,false,,,,,,,,,,,,834
416511778,416511779,256,c361a5756d2f9159461fac5a92137ab9b3851601,python,ok,1,python,pytest,true,false,266,0,266,0,,,,,1.22,,820
20813909,20813911,27,0713c4c1559ee16c627e5e69e1ab1fbe686cfd9f,python,ok,,python,unittest,true,false,12,0,12,0,,,,,0.09,,179
30065937,30065939,38,8e7689fba8cb395d13663eff80eac65dd2add040,python,ok,,python,unittest,true,false,24,0,24,0,,,,,1.46,,749
32260800,32260802,48,963572d8fbd366df5270de18951471213fb789f2,python,ok,,python,pytest,true,false,24,0,24,0,,,,,3.33,,751
49485366,49485370,58,17dd9a626fea728305acc158701edf94c7b76784,python,ok,0,python,pytest,true,false,24,0,24,0,,,,,3.4,,779
51449914,51449915,69,2667c5f1f49b3894da561237d76c502a4c668714,python,ok,0,python,pytest,true,false,24,0,24,0,,,,,2.83,,803
52381001,52381004,81,f46eea67d9d160aaa5ca7986118b6ff9a6dd7d12,python,ok,0,python,pytest,true,false,12,0,12,0,,,,,2.13,,751
