tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
4875103,4875104,10,b4d7a1847a019c3453b63102c8044af2eac9d8e9,python,unknown,,python,pytest,true,false,201,0,201,1,,,,,1.23,,2299
23459014,23459021,127,f539f923adafe875b5dbd29dcc1754e534b685cd,python,ok,,python,pytest,true,false,615,0,615,2,,,,,23.94,,3671
27053518,27053519,145,9c034da9dce297c7ed71d20058794cb2e7c2c4b0,python,ok,,python,pytest,true,false,637,0,637,1,,,,,11.37,,3466
48194334,48194341,158,4eae2b1b46e00f66517595d15e61176de14bb975,python,ok,0,python,pytest,true,false,638,0,638,1,,,,,18.37,,3523
54444048,54444054,170,974ba0410a190602fb19d48b8178a1bfb869b780,python,ok,0,python,pytest,true,false,648,0,648,2,,,,,218.47,,3773
59104015,59104025,183,da9cfd70695ef4de2c97d41fd940fddea611f1a9,python,ok,0,python,pytest,true,false,648,0,648,1,,,,,15.91,,3603
82463113,82463115,200,111cd4ee9aaa79542c5383b38b7cc7e2fcb9d17a,python,ok,0,python,pytest,true,false,652,0,652,0,,,,,15.85,,3778
83587338,83587349,208,8ea0513d2537c71edccf1997a6cd71ce408daccc,python,ok,1,python,pytest,true,false,654,0,654,0,,,,,17.76,,3778
109033817,109033822,215,164945cd94bf68277dfc5ea4ebed16b31fd69775,python,ok,1,python,pytest,true,false,661,0,661,2,,,,,10.17,,3837
132517412,132517418,223,c48a08d1405296b8fcd810d1f7464fe33c13e7b0,python,ok,1,python,pytest,true,false,661,0,661,2,,,,,16.12,,3986
244328472,244328481,232,8b9c16ce9dacb8cab3597bda9afaaf96e881c0c6,python,ok,1,python,pytest,true,false,664,0,664,3,,,,,284.51,,3986
261236902,261236910,241,40ac2c647f17d78a5b705d2d86b63e0a4168ab3a,python,ok,1,python,pytest,true,false,672,0,672,2,,,,,12.24,,3989
354881498,354881508,250,ca1c13f6998ae2d835bdd5033c17197dcba84cf4,python,ok,1,python,,true,true,0,0,0,0,,,,InterpreterNotFound: pypy,0,,3988
469300551,469300555,261,ca1c13f6998ae2d835bdd5033c17197dcba84cf4,python,ok,1,python,pytest,true,false,672,0,672,2,,,,,9.97,,3988
599422346,599422351,271,ca1c13f6998ae2d835bdd5033c17197dcba84cf4,python,ok,1,python,,false,,,,,,,,,,,,3988
728195390,728195417,289,3797ee62ea9e28db613b9a038c562dc31f1df5d9,python,ok,0,python,,false,,,,,,,,,,,,3984
5353766,5353773,50,c46921256a82a39fa7054a51f633754b9f161d53,python,ok,,python,pytest,true,false,505,0,505,1,,,,,3.87,,3039
5993052,5993053,66,5bcbc33aa7b3bf2f8a210349771d28165f805a04,python,ok,,python,pytest,true,false,534,0,534,1,,,,,20.63,,3123
