tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
53971660,53971661,127,a245a23f471ed3bb5bb38410d5ba6e189c08dda2,python,ok,15,python,unittest,true,false,25,0,25,0,,,,,54.33,,621
53972344,53972348,130,41ac6025b3bc2ba9fd85b327e380d18279af8303,python,ok,58,python,unittest,true,false,25,0,25,0,,,,,83.62,,608
53979603,53979606,133,4f324f0371ffc1f7c3333b311451edc06f98c8c5,python,ok,15,python,unittest,true,false,25,0,25,0,,,,,54.81,,608
53980933,53980934,137,9ec15f466fa6a4fd82dd807870e817a82453dab9,python,ok,10,python,unittest,true,false,25,0,25,0,,,,,51.68,,608
35121983,35121985,16,d50b6eec91847d08c2405130886b52bd65da384c,python,ok,18,python,unittest,true,false,10,0,10,0,,,,,14.44,,362
89509503,89509505,191,f112d731a3234bb71bbbd459405f7dfdf6a63685,python,ok,11,python,unittest,true,false,27,0,27,0,,,,,55.1,,635
89599281,89599286,194,bcf359bf8c06789b09c22a3cf082355ed4a3782c,python,ok,10,python,unittest,true,false,27,0,27,0,,,,,60.48,,635
89609041,89609043,197,cb958c9c614233648827f56a5202c5b84cdf0842,python,ok,11,python,unittest,true,false,27,0,27,0,,,,,55.28,,635
89618568,89618572,199,27034cd266c7b6dcd66d1daf5374f8664525dc71,python,ok,11,python,unittest,true,false,27,0,27,0,,,,,59.23,,635
89618613,89618616,201,27034cd266c7b6dcd66d1daf5374f8664525dc71,python,ok,10,python,unittest,true,false,27,0,27,0,,,,,70.01,,635
144596894,144596896,209,e3f5283bb7a85e86c4e3052c207a5e63afbba519,python,ok,13,python,unittest,true,false,27,0,27,0,,,,,54.56,,635
244309959,244309963,244,9ae321343c352681da68721cc87aa8de0d91243f,python,ok,24,python,unittest,true,false,27,0,27,0,,,,,91.39,,635
244326697,244326699,249,93a0054178d7e5c81526448597510a58dca982b7,python,ok,24,python,unittest,true,false,27,0,27,0,,,,,77.46,,635
418356154,418356158,261,6c0694982033dc39d98c96a03e08f8180a4f3629,python,ok,19,python,unittest,true,false,27,0,27,0,,,,,17.56,,628
426434370,426434372,286,9e607c09a7b3c8e536fac09826f620ec73a32cd3,python,ok,16,python,unittest,true,false,27,0,27,0,,,,,20.7,,628
426451157,426451161,288,9e607c09a7b3c8e536fac09826f620ec73a32cd3,python,ok,17,python,unittest,true,false,27,0,27,0,,,,,19.32,,628
718734118,718734120,309,a0fcfb09d3a22cf8d77b0168346ae76be31147f8,python,unknown,5,python,,false,,,,,,,,,,,,633
35115327,35115328,4,c5b2b313eef4130620160ec473536513816b84fc,python,broken,13,python,,false,,,,,,,,,,,,386
37704766,37704767,76,1f46f92019c995436ae25555600ff558aca675a0,python,ok,12,python,unittest,true,false,15,0,15,0,,,,,27.81,,424
