tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
582080313,582080314,100,2fb887bc71987ca7e0a306861c9057ee291b885c,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.13,,461
691013652,691013659,109,a0d0898c01bace8c496a80b308962a454548081e,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.07,,463
691017816,691017819,113,193e0d6315ae0437492ef01d16f75a9a74bc79f3,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.07,,463
691208113,691208114,118,8ee2c3a5fe66d06a4ce2a1ad18b8ce7d44b1c64c,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.08,,469
732263186,732263188,122,d21d1362bb6fb0716d42b03dc908a1fd889769ae,python,ok,0,python,unittest,true,false,4,0,4,0,,,,,0.08,,469
25611252,25611253,26,e7faed986480e6543251536b6d4435e378eb9f43,python,ok,,python,unittest,true,false,3,0,3,0,,,,,0.15,,314
37312498,37312499,37,26850e1e80d4f4cfd0372af006995bc6867d699b,python,ok,,python,unittest,true,false,3,0,3,0,,,,,0.24,,325
75659703,75659710,54,68e93ea05118f9952b7148a0685ee138ae419095,python,ok,0,python,unittest,true,false,3,0,3,0,,,,,0.07,,409
96268481,96268485,59,aed72dfe30cd5f8262013af73356a76924cbeb83,python,ok,1,python,unittest,true,false,3,0,3,0,,,,,0.11,,408
168998215,168998219,78,3e221338e187730745c2e1c7f195083ccd4103be,python,ok,1,python,unittest,true,false,3,0,3,0,,,,,0.06,,405
555923551,555923552,95,7e7b4cbf1a1e80d7c09a862f8c0466f205446ba5,python,ok,1,python,unittest,true,false,4,0,4,0,,,,,0.06,,461
