tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
329022567,329022571,134,cd3dfb907bc23fb83f3163cffb407e62d633c6ce,python,ok,11,python,unittest,true,false,21,0,21,0,,,,,0.87,,1689
425294882,425294885,151,4a52d1db2d425e354b246653bd7f8c65d687ed82,python,ok,1,python,unittest,true,false,30,0,30,0,,,,,1.69,,1909
623502278,623502279,177,59f5145df48f36d3bcc8c0ec393342c655faa87d,python,broken,1,python,,false,,,,,,,,,,,,1926
760451011,760451015,184,d27caf0b371f93c498a6cc8caa458113e1fe0037,python,ok,1,python,unittest,true,false,31,0,31,0,,,,,1.98,,1934
229498897,229498898,25,ffae7e56e76d07f073a1993ba5df188d94271422,python,ok,0,python,unittest,true,false,14,0,14,0,,,,,0.18,,924
232104701,232104705,32,e566aa1e56cee7f948468a4dbcb2bb0b7ed8a54c,python,ok,0,python,unittest,true,false,14,0,14,0,,,,,0.1,,925
233126664,233126666,40,954cd27e082446ccfeac17a7595414d017861da0,python,ok,0,python,unittest,true,false,16,0,16,0,,,,,0.28,,1133
233521901,233521905,49,3531a4241130b72f103d0d49d898abc410c33d03,python,ok,0,python,unittest,true,false,16,0,16,0,,,,,0.08,,1133
233917623,233917625,57,fde73e789d801d7699e07592b73303f7ed91bed9,python,broken,1,python,unittest,true,true,16,1,17,0,,,,,0.24,,1353
241704918,241704921,82,a1aa86e2222b64f80b2b445a57116b473207c1c7,python,broken,1,python,,false,,,,,,,,,,,,1435
