tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
12689401,12689402,100,78f472c3f049f9610ecef4d9c64322dfa3cf947e,python,ok,,python,unittest,true,false,33,0,33,0,,,,,0.1,,924
24147085,24147089,144,63161d74a47d46ec079ec37b0033362679ad3664,python,ok,,python,unittest,true,false,33,0,33,0,,,,,2.11,,923
39322956,39322958,193,ebdd56cd2cb0329538c9f9777e895203c13e4368,python,ok,28,python,unittest,true,false,37,0,37,0,,,,,0.23,,1078
177806495,177806500,272,f8ec9c647d7b829132974763defd21596a086046,unknown,unknown,,plain,,false,,,,,,,,,,,,1113
252869085,252869098,316,2c6d622c7506fc514d2741bc8e3c2155211d455a,python,ok,20,python,unittest,true,false,96,0,96,0,,,,,1.26,,1191
293850176,293850185,341,5fe0813385f180e383c59cfe4ccd7c9e871e40f7,python,ok,18,python,unittest,true,false,96,0,96,0,,,,,0.16,,1211
362217776,362217781,391,343474223e3dbe49172770d6f8919bda14eb74ba,python,ok,21,python,unittest,true,false,100,0,100,0,,,,,0.17,,1262
431032637,431032652,442,9d6830a142948a0fe736e4935c6570570b87ce44,python,ok,19,python,unittest,true,false,100,0,100,0,,,,,0.19,,1273
7129440,7129442,46,35a1e6d1640e582cd28d4eb09316f2501686bcaa,python,ok,,python,unittest,true,false,18,0,18,0,,,,,0.14,,752
509026191,509026198,491,73576d2c6f589645412a0666f21e816fb49c3026,python,ok,20,python,unittest,true,false,100,0,100,0,,,,,1.15,,1273
7134363,7134367,51,356f4e1b2ea213b848cd3febdf977d3a14630011,python,ok,,python,unittest,true,false,18,0,18,0,,,,,0.45,,753
658308588,658308597,620,00e53554566df2ec8c955a67745828d104d1af08,python,ok,14,python,unittest,true,false,100,0,100,0,,,,,0.92,,1546
704009091,704009098,646,ba92347bf58ef26c699d36999da2f9129e8c2920,python,ok,40,python,unittest,true,false,100,0,100,0,,,,,0.23,,1547
715233170,715233174,705,77c926d8d981d1375ecf3c1497ec5d1dd0d2709e,python,ok,14,python,unittest,true,false,139,0,139,0,,,,,0.56,,1794
