tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
81065863,81065864,106,ac5b05a05007eb93594b9c62746548a0c1c56ce4,python,ok,0,python,unittest,true,false,18,0,18,0,,,,,0.12,,907
96101672,96101678,154,c955f41b80b3ec9288037f76980ee63bd3467568,python,ok,1,python,unittest,true,false,21,0,21,0,,,,,0.2,,889
150845630,150845638,212,027af3821ece971a76a616fbe247999f5cbe01ba,python,ok,1,python,unittest,true,false,21,0,21,0,,,,,0.13,,955
269270224,269270228,306,466bbc3be7e53025f24ea45d3f68b9db332393d6,python,ok,1,python,unittest,true,false,32,0,32,0,,,,,0.23,,1359
351618271,351618273,345,9413804df6c5c221b49663c993689168b9ec8c46,python,ok,1,python,unittest,true,false,33,0,33,0,,,,,0.23,,1381
394178530,394178535,361,cc49b24b1aabcfe976dc402f798717939664e378,python,ok,1,python,unittest,true,false,33,0,33,0,,,,,0.96,,1383
483568527,483568532,377,446317339f1e98e174497b183141c7aa5ae38870,python,ok,1,python,unittest,true,false,33,0,33,0,,,,,1.13,,1339
534516817,534516818,409,b66f6c012337d896dc672aa4ac12c6aee892882a,python,ok,1,python,unittest,true,false,34,0,34,0,,,,,0.33,,1382
543433871,543433876,424,a69d5294f8d73c561d0938a31e7502f2b39190bc,python,ok,1,python,unittest,true,false,34,0,34,0,,,,,1.3,,1434
567565831,567565834,440,f20268a3ec14af3e8d6681c2ffd01e299dc4f6df,python,ok,1,python,unittest,true,false,34,0,34,0,,,,,0.34,,1436
707232360,707232363,477,9a53243eae1a1289f670ce8f8941e9867a9de531,python,ok,1,python,unittest,true,false,35,0,35,0,,,,,0.27,,1450
