tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
11903960,11903961,100,2156f47ab2b4d576f294fa470565986c3f8357dc,python,ok,,python,unittest,true,false,23,0,23,0,,,,,0.01,,2972
11994120,11994122,142,234e1c1be5d9370fa23816ef0f11d7698b3a91a8,python,ok,,python,unittest,true,false,23,0,23,0,,,,,0.01,,3070
12201881,12201882,185,7e329100630569a22ce4c114d5c71018efb41764,python,ok,,python,unittest,true,false,23,0,23,0,,,,,0.03,,3163
20487404,20487405,269,99d63801aafe12dece7857c4fe7858fc33bdf415,python,ok,,python,unittest,true,false,28,0,28,0,,,,,0.03,,3445
70516509,70516510,300,673467611fc3f8796a61ce4adcc5c7a47729eb94,python,ok,0,python,unittest,true,false,28,0,28,0,,,,,0.05,,3469
73200183,73200186,329,4860bd6587ba230c9d6ca45c996289b6576baadd,python,ok,0,python,unittest,true,false,28,0,28,0,,,,,0.05,,3507
74147421,74147423,353,e7a4645fa25d7beddbfb0ff3978a6285234c6851,python,broken,0,python,unittest,true,false,28,0,28,0,,,,,0.05,,3472
92718516,92718519,372,793bd4420531ade18cb3b9c8b2eab5929461592f,python,ok,1,python,unittest,true,false,28,0,28,0,,,,,0.05,,3499
94740233,94740235,390,be7286250ccf2dbd483af991de2d1047e2c40500,python,ok,1,python,unittest,true,false,28,0,28,0,,,,,0.05,,3540
101862220,101862221,408,503189119b1b3e06ef0e1b220ea256b6d72e7170,python,ok,2,python,unittest,true,false,28,0,28,0,,,,,0.03,,3504
113360294,113360303,426,3dc81a3ea8f326626cdb65c5abf9b50b3972d397,python,ok,1,python,unittest,true,false,28,0,28,0,,,,,0.05,,3573
150466659,150466663,444,f3161e844311c609e78e2cf9ad920f4a0593934f,python,ok,1,python,unittest,true,false,28,0,28,0,,,,,0.05,,3601
264181225,264181229,460,35470c00be227eba65093e58be5b6df1356f013a,python,ok,1,python,unittest,true,false,28,0,28,0,,,,,0.05,,3599
292182516,292182532,475,935aeef60aa0c174aa3695ab837035156f4fed1c,python,ok,2,python,unittest,true,false,28,0,28,0,,,,,0.05,,3692
500849229,500849231,520,998e80d02eb27fa7a59ac23db41ae3854f3c2d19,python,ok,1,python,unittest,true,false,28,0,28,0,,,,,0.03,,3778
609986049,609986052,537,8340aba04801dace91ad8efeedf96370141f6600,python,ok,1,python,unittest,true,false,28,0,28,0,,,,,0.060000000000000005,,3780
755969608,755969613,555,aa73d06022533a3ff0a956910f2df9a54c233d88,python,ok,1,python,unittest,true,false,28,0,28,0,,,,,0.05,,3787
