tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
71422721,71422723,100,9483653602d5a53ddcba3d4c8a7579b672961f78,python,ok,1,python,,false,,,,,,,,,,,,4039
71441480,71441481,106,23750579ec463a59dee4f1f93358ef7942fab669,python,ok,1,python,,false,,,,,,,,,,,,4095
72477072,72477073,111,54acd809318ada27672a56c1dc3db90a1f78b6fd,python,ok,1,python,,false,,,,,,,,,,,,4095
77155574,77155575,119,8be2c0a5c9117dd837178e7963af6bcafb35b91b,python,ok,1,python,,false,,,,,,,,,,,,4017
88132547,88132548,126,6e95c73ccbea621f68464bceb6ce913d26abfe60,python,ok,1,python,,false,,,,,,,,,,,,4021
64152883,64152884,16,71e6f5387b40037b6c168a7bdb0087e2b9d1aec4,python,ok,1,python,,false,,,,,,,,,,,,1912
64291085,64291086,21,a5dda02d90f5fcf888d9a589fe6bcf21732e0eb1,python,ok,1,python,,false,,,,,,,,,,,,2061
64653440,64653441,27,48d613f634e5010a899432b635aa6791472b7c5a,python,ok,1,python,,false,,,,,,,,,,,,2671
64950896,64950897,32,9804942c356f3fe3abc207541cf2339a729e5225,python,ok,1,python,,false,,,,,,,,,,,,3395
65578533,65578534,38,4d9b4f8dc02b71406030174868411c76a9eb5f6e,python,ok,1,python,,false,,,,,,,,,,,,3509
65614788,65614789,43,8f2bd872f90e2bd35b9ecd5631ef1f1862777366,python,ok,1,python,,false,,,,,,,,,,,,3565
67258421,67258422,49,1c6bf4900415ae556bd813e9d0f3fc3172facbdb,python,ok,1,python,,false,,,,,,,,,,,,3681
67730969,67730970,54,049c964ffb524f95338fb830c08c3ba7bb066ac9,python,ok,1,python,,false,,,,,,,,,,,,3758
63370493,63370494,5,56a23e57de521aeecb6a0fd110b4b2a826514ca7,python,broken,1,python,,false,,,,,,,,,,,,1361
68192334,68192335,65,267bde45194f320b95d06e7e2cef7a55883e9a4b,python,broken,1,python,,false,,,,,,,,,,,,4560
68222975,68222976,70,089d7e5502cdc51dd8c8e98154db1cbfd72c8d08,python,ok,1,python,,false,,,,,,,,,,,,4001
69462301,69462303,76,473792f8b6404919c8c2cf40b91c770d36f789fe,python,ok,1,python,,false,,,,,,,,,,,,4010
69559218,69559219,81,1e02250fc72257b406246fece4c724fdf2a6cac2,python,ok,1,python,,false,,,,,,,,,,,,4014
69772275,69772278,87,e8642e6e328931542b865a2524976b48d013dddf,python,ok,1,python,,false,,,,,,,,,,,,4022
70623134,70623139,92,7f8aa3b09bdb01e238ea7ec90a49204a79e27c44,python,ok,1,python,,false,,,,,,,,,,,,4033
