tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
345418540,345418541,1017,74b11f14aa0e6264df25c77614fd78b0b9c68960,python,ok,2,python,unittest,true,false,526,0,526,0,,,,,19.44,,15423
423530295,423530306,1034,c93b38d3bace042c81569bfd7e16f030ca367e9c,python,ok,1,python,unittest,true,false,542,0,542,0,,,,,18.06,,15643
423734517,423734519,1057,47b24b52674470c0cab41647565a7065b47a5b66,python,ok,1,python,unittest,true,false,550,0,550,0,,,,,25.7,,15731
468258041,468258051,1118,fffeeef8ddbc6bc4754f2b3017a0ba49a045c556,python,ok,2,python,unittest,true,false,554,0,554,0,,,,,20.84,,15867
481926830,481926833,1144,c7efd6c1f64fc05a342f0be6bcbf0f0b4565a119,python,ok,1,python,unittest,true,false,578,0,578,0,,,,,24.88,,16450
491318176,491318183,1171,eee59d6f029b8fe1817d6969c138c9d3a02d02e2,python,ok,1,python,unittest,true,false,590,0,590,0,,,,,25.4,,16647
726681298,726681307,1410,86747524bb75453ef5c186ad1805b210fbe76e45,python,ok,1,python,unittest,true,false,608,0,608,0,,,,,29.299999999999997,,17258
727851972,727851976,1433,3a2523e6c95f1eee449939e88f3d5feba6f4af57,python,ok,1,python,unittest,true,false,609,0,609,0,,,,,41.07,,17335
728809191,728809199,1460,a4b42b7c99ee2639ba1d374bb76e0f75cd206369,python,ok,1,python,unittest,true,false,609,0,609,0,,,,,31.919999999999998,,17238
730431185,730431188,1498,8983bda2ad6d336997ba0f0d524102877e0657d3,python,ok,1,python,unittest,true,false,635,0,635,0,,,,,43.14,,17983
734167333,734167342,1575,ad0dd22ad5c0f77d1f8ba32142c7c6e732050e07,python,ok,1,python,unittest,true,false,636,0,636,0,,,,,33.92,,18125
738619552,738619557,1638,fe8ec427d863bd42f8bb988d12efb4da25584a0a,python,ok,1,python,unittest,true,false,641,0,641,0,,,,,33.38,,18807
