tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
443199781,443199783,110,5b25e9ee4ea47f39a88d1ba9a7b19dec7fbc133b,python,ok,0,python,pytest,true,false,388,0,388,0,,,,,3.6,,1044
446940059,446940061,125,66c931920251540130e512cb04c1c0a9e57a31a7,python,ok,1,python,pytest,true,false,417,0,417,0,,,,,3.74,,1116
555072966,555072972,142,c96e82d42ed46b889321989569d40ce7b205bded,python,ok,1,python,pytest,true,false,417,0,417,0,,,,,3.26,,1116
8690987,8690988,22,2a4f83246487cb3b23368b5971f8e4527aeb4b2f,python,ok,,python,unittest,true,false,89,0,89,0,,,,,0.11,,792
122336380,122336381,53,7929b1b1024feeca54d721e6faeef24f5f4e011f,python,ok,0,python,pytest,true,false,89,0,89,0,,,,,0.19,,806
122436831,122436832,59,a1f192ff7946f07fc514f80f3647875d5c2d543b,python,ok,0,python,pytest,true,false,98,0,98,0,,,,,0.15,,781
122722206,122722210,64,0b6975b570cea81ff4dd7d5f78fe2052001663c6,python,ok,0,python,pytest,true,false,98,0,98,0,,,,,0.44,,786
143166058,143166064,69,5aec583ecd980a032941c3dc700fbe8f748d6a33,python,ok,1,python,pytest,true,false,98,0,98,0,,,,,0.16,,786
153983537,153983541,74,b738f972c7a81410ac671a154c996b0c339f33d6,python,broken,0,python,,false,,,,,,,,,,,,793
211912083,211912084,86,f5124e7d32ca293da1773bee1b0243bed5ae50b0,python,ok,0,python,pytest,true,false,100,0,100,0,,,,,0.17,,807
