tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
81724626,81724629,100,c6e242e9157bcba76d805036ead3aecbd5d3bc1e,python,ok,0,python,unittest,true,false,12,0,12,0,,,,,12.89,,724
85296915,85296925,122,4a35681509ee1f76125f4c20098f34dbd5a32dcd,python,ok,1,python,unittest,true,false,15,0,15,0,,,,,16.03,,803
105290666,105290667,161,6fe3d31bb5a0de7f90e16c751175c84a4cbda28b,python,ok,0,python,unittest,true,false,0,0,0,0,,,,,0.0,,965
15323712,15323717,1,2c2d88b53beac493691d410c5273b0d51333e994,python,ok,,python,unittest,true,false,3,0,3,0,,,,,0.18,,243
162048549,162048550,250,4846672762f7601f4e423ce8ca44f43bf9a15d5b,python,ok,0,python,unittest,true,false,66,0,66,0,,,,,1.05,,1572
162921216,162921235,274,0a95a6506e91ceced6c51528b3c9696706d632c1,python,ok,0,python,unittest,true,false,69,0,69,0,,,,,1.64,,1574
329032089,329032096,454,a8fb84ba2c71b5881637157990202d8db72c428b,python,broken,0,python,,true,true,0,0,0,0,,,,warnings: commands failed,0,,2082
15324717,15324724,4,3da0168b0a248b10599aa89a58ea00a9cf72765b,python,ok,,python,unittest,true,false,3,0,3,0,,,,,0.12,,243
522395301,522395303,595,a4c73cca4fa17bc22e5b2c9a09cb4868694d3507,python,broken,1,python,unittest,true,false,135,0,135,0,,,,,1.03,,2440
615881324,615881328,667,a6fc6936ed4f70f1a1f9f4f66b7b5559cc9dcaac,python,ok,2,python,unittest,true,false,4,0,4,0,,,,,44.68,,2734
687764165,687764181,704,a6fc6936ed4f70f1a1f9f4f66b7b5559cc9dcaac,python,ok,1,python,,false,,,,,,,,,,,,2734
716245556,716245560,741,47dff32f4c1f5f84ae08ab4fcb7c14dd48ca83d8,python,ok,0,python,unittest,true,false,151,0,151,0,,,,,1.15,,2873
71392697,71392700,79,9cff1c12ed2b1501c1478ec6e5e5245a3db86a04,python,ok,0,python,unittest,true,false,12,0,12,0,,,,,12.74,,724
