tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
9365641,9365642,100,72a4bfc3ce9a2afd2ca2876f330edcf2c34d5664,python,ok,,python,pytest,true,false,71,0,71,0,,,,,0.68,,3065
61899863,61899873,210,deecadcfd54f2bd88f252a42eea2b833fe2d9759,python,ok,0,python,pytest,true,false,87,0,87,0,,,,,0.67,,3340
103437666,103437667,272,e25f9a65084108fb9c05dae439b37d1e7ed7d777,python,ok,4,python,pytest,true,false,245,0,245,1,,,,,59.87,,4256
129511699,129511704,308,ebe6ac242d7009e62bd81de8b63defe00876203e,python,unknown,1,python,,false,,,,,,,,,,,,4280
140168467,140168473,347,792d4764f0f0e9262e4139e075ebbc8cd05307a5,python,ok,1,python,pytest,true,false,262,0,262,1,,,,,67.57,,4388
302087987,302087995,419,56fe8f3a26ed2a5f5f81659ab49c34795a825ef9,python,ok,1,python,pytest,true,false,267,0,267,1,,,,,153.26,,4634
3832641,3832643,48,fd27d77ac107f8510a477ef3e2d7c99590c4960a,unknown,unknown,,plain,,false,,,,,,,,,,,,2759
3833186,3833187,52,236023ca4c969369153aaffc619ee0ddf43eea2f,unknown,unknown,,plain,,false,,,,,,,,,,,,2785
453143015,453143019,593,b420c61b028f2a76d46715a178638f85d998f091,python,ok,1,python,pytest,true,false,285,0,285,1,,,,,106.6,,4731
579947758,579947764,648,91a5ebd8b11bc0fef42614dcf539b2910239c8af,python,ok,1,python,,false,,,,,,,,,,,,4812
