tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
146897082,146897087,100,f55a892424ea66976af099f044d6b118fe5be3a3,python,ok,1,python,unittest,true,false,19,0,19,0,,,,,3.61,,1197
153586778,153586793,106,27d05cc0ceb59e02771ef3ab76f1d3447d8de426,python,ok,1,python,unittest,true,false,19,0,19,0,,,,,5.17,,1200
382239607,382239613,136,030233b00d58a7315ed7e5cb833b6f0012048b1c,unknown,unknown,,plain,,false,,,,,,,,,,,,1445
382252227,382252246,140,490893bbe25668a294bf302947484157ba9a57a1,python,ok,1,python,unittest,true,false,24,0,24,0,,,,,4.61,,1445
399636095,399636097,158,d10aa62cd2de7dd16c4322f5ff5631ef4fa7b2a0,python,ok,1,python,unittest,true,false,24,0,24,0,,,,,4.79,,1450
454072067,454072071,181,bc826808122fe6193cfd38e5b88fdb51c0a57730,python,ok,1,python,unittest,true,false,24,0,24,0,,,,,12.52,,1475
24553302,24553307,29,686cc02cfa1e606386bf0622761ecae2c7168fee,python,ok,,python,unittest,true,false,17,0,17,0,,,,,14.39,,973
35936865,35936868,48,7c781beb569033ea895b31e81150645c7bf67548,python,ok,,python,unittest,true,false,17,0,17,0,,,,,9.25,,1021
35951031,35951041,55,772adf60a137b85aa7ae105100fc5803ca0a28cc,python,ok,,python,unittest,true,false,17,0,17,0,,,,,6.55,,1025
70623642,70623646,73,dc876d969e9d38ee0a90bea95a8c043abc1ec77f,python,ok,0,python,unittest,true,false,17,0,17,0,,,,,7.49,,1164
132366168,132366192,87,005e8ac549856f6d7a798c9a0640450d29f6370c,python,ok,1,python,unittest,true,false,19,0,19,0,,,,,3.33,,1185
141639007,141639029,93,454b4f3a658c38c5e7dd720f1910b1b5976b3e0b,python,ok,2,python,unittest,true,false,19,0,19,0,,,,,3.89,,1185
