tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
499494155,499494158,150,81ac6eb16433343fc953150b4c62344b4dbab335,python,ok,35,python,pytest,true,false,306,0,306,40,,,,,106.18,,14700
582337874,582337875,212,d29b885c46133d6e6a4063d3ffc8591dccda2be1,python,ok,30,python,pytest,true,false,306,0,306,40,,,,,107.23,,14744
612522572,612522573,225,26c5da648b4472a630930cb2fe21a5dd3900c6a1,python,ok,53,python,pytest,true,false,306,0,306,40,,,,,103.28,,14749
270451926,270451928,25,b02ed2ca8e6a291ecaf50986122202bd47bd8ce7,python,ok,105,python,pytest,true,false,327,0,327,23,,,,,108.33,,13620
664588899,664588900,278,b04bb970962b0b7d8f284bd5ed1dafd56d9a09b0,python,unknown,1,python,,false,,,,,,,,,,,,14554
684802141,684802143,295,d2baf00236df69878e19466fc1c27f8ff0c89b4e,python,unknown,1,python,,false,,,,,,,,,,,,14609
690886663,690886664,312,55dd3aa6011a347906194a4d2c9e09944c556de2,python,ok,1,python,pytest,true,false,305,0,305,40,,,,,101.16,,14612
319224463,319224471,32,4d677a5e8fba7257305568dc932e4133dcf0f019,python,unknown,93,python,,false,,,,,,,,,,,,13749
401693661,401693666,63,ad4fe405583d080e325b78e45e47c8435f6e3b10,python,unknown,100,python,,false,,,,,,,,,,,,13965
407504225,407504229,72,71294f1f4162bb7c3edf256a46eb4fd5c24e8b5e,python,ok,100,python,pytest,true,false,334,0,334,35,,,,,101.72,,14024
