tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
441300552,441300553,100,3f577fbcfaae16e5445d9f339515db357e62b090,python,unknown,4,python,,false,,,,,,,,,,,,12158
448894169,448894171,118,9b76ed54a2c702e613ca7dd09cd92a7f16c874e5,python,unknown,3,python,,false,,,,,,,,,,,,12355
531785731,531785734,134,f06e94aeffb04d8bb30964628bcc760d5285588a,python,unknown,4,python,,false,,,,,,,,,,,,13914
554509356,554509360,150,bf94917c31572a019958ad1519c61b244bb4d23a,python,unknown,4,python,,false,,,,,,,,,,,,13990
556095283,556095288,167,4ca178ec9588c5e972d7cbe3633a94221b971f8c,python,unknown,3,python,,false,,,,,,,,,,,,14165
560921463,560921464,184,3dc7eddaf7f8ef26b9cbe4bd1a7d15f9d530c1c6,python,unknown,3,python,,false,,,,,,,,,,,,16584
354179050,354179052,1,e57930ad0ce6d207b9ee3bda2d41d5775edefb59,python,unknown,4,python,,false,,,,,,,,,,,,9218
571287669,571287672,216,046bda0797920b7ddf44a7100f4ec2d61964df5e,python,unknown,3,python,,false,,,,,,,,,,,,15178
616702577,616702581,232,2aab0aa99a0511f1d4d8011a54e750541337ce69,python,unknown,3,python,,false,,,,,,,,,,,,14635
630925446,630925451,253,a848b75c16a86551becdc6db31f8d6199e124cfb,python,unknown,3,python,,false,,,,,,,,,,,,14780
655414179,655414180,281,a3cfc03f37cd005085c38d89a9654fa9833ae746,python,unknown,3,python,,false,,,,,,,,,,,,13804
365413626,365413628,29,348a67511b365de5a5843477fc7367ea6667cdd2,python,unknown,12,python,,false,,,,,,,,,,,,10779
678215886,678215889,315,e1b6a8e0da3096303f4a914624ef1b1ab88803e6,python,unknown,2,python,,false,,,,,,,,,,,,12765
695883817,695883821,331,4c3cd1ad08624d846c1f655f5528e52f0254f8bb,python,unknown,3,python,,false,,,,,,,,,,,,13006
716221298,716221303,348,9608bda72e7f523df31da4d3e017f56ffc282b9a,python,unknown,2,python,,false,,,,,,,,,,,,13018
373758865,373758869,36,c68ea194a95949f6d6ffb7cb33dfc6679e1bbc9e,python,unknown,5,python,,false,,,,,,,,,,,,10846
757215409,757215411,397,9fa3ef392e54a8d4e81309c9969e8b8aa2ed4326,python,broken,2,python,,false,,,,,,,,,,,,34119
356703723,356703726,4,49ed8e8d1a6c1d1a0cdb0d4c59b547c3d66eb965,python,unknown,4,python,,false,,,,,,,,,,,,9218
422046905,422046909,66,2b0e91faba938b1230e67028104c0439925cf08a,unknown,unknown,,plain,,false,,,,,,,,,,,,11479
430344653,430344658,82,bef708b67b592afd17613081db2b43e79341524e,python,unknown,2,python,,false,,,,,,,,,,,,11568
