tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
288054813,288054814,215,696742f98f208529979a3d68beeb0918dc03a1be,python,ok,8,python,,false,,,,,,,,,,,,261
290252691,290252694,235,0156f1d080d8e6561a46d0682d0d99cc072feb70,generic,unknown,278,plain,,false,,,,,,,,,,,,40
290258464,290258465,239,db9ed110afc679c2d39b4466d090393f6727901b,unknown,unknown,,plain,,false,,,,,,,,,,,,40
290259766,290259769,242,706b2b23b0f35d8db5800a6d8c4b02d9e54bee4c,generic,unknown,221,plain,,false,,,,,,,,,,,,40
290274367,290274368,247,e1b5769fc6b8d09c3e1dbb2df0df5c91d1e3b8ea,generic,ok,7,plain,,false,,,,,,,,,,,,40
291480303,291480307,250,54bc87a7a4e3400106574dfe7d371f7375392fb0,generic,unknown,351,plain,,false,,,,,,,,,,,,40
332102525,332102528,333,0f7ba4b4a8678fe364a8c686315b4b4ecfee7cb9,unknown,unknown,,plain,,false,,,,,,,,,,,,40
332112301,332112302,337,952c208f7a7403d7937b4a3e2fd4f818329401d2,generic,ok,5,plain,,false,,,,,,,,,,,,40
334533325,334533326,360,979aad7699a5ae82d91294d140e5f9656e64b3b8,generic,ok,3,plain,,false,,,,,,,,,,,,40
338680964,338680965,384,c273d93069291028e0fa3b888aaf1b5c893592a7,generic,ok,2,plain,,false,,,,,,,,,,,,40
