tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
148854609,148854610,1072,acc9fe834bc74d2f767ede2905e4eb7f0015d902,python,ok,1,python,,false,,,,,,,,,,,,16205
153250406,153250407,1085,25f889899da3d9540358caaead8c36a32919f00b,python,ok,5,python,,false,,,,,,,,,,,,16258
162350239,162350240,1106,a2fc6f62d82e8965f601df3de84b56f2b6094036,python,ok,1,python,,false,,,,,,,,,,,,16965
165529218,165529219,1124,95c7c629f227412e2e103bd099655928847d7659,python,ok,1,python,,false,,,,,,,,,,,,17090
178681437,178681438,1161,bcc91cac86ba6fe18895280714ba2842477cfd89,unknown,unknown,,plain,,false,,,,,,,,,,,,17259
202400290,202400291,1197,729d068818fae435f263f6c32e15548d9bc65d4f,python,ok,1,python,,false,,,,,,,,,,,,17507
223199540,223199541,1231,1fcb8b9100ee3000946c2fac3fa5de779f93cdd5,unknown,unknown,,plain,,false,,,,,,,,,,,,17879
482428814,482428815,1249,ecc05518b278c0ea8c962367084058515db41599,unknown,unknown,,plain,,false,,,,,,,,,,,,26056
518698351,518698352,1341,14d9707053185d868f229f73c2534595e9faccf1,unknown,unknown,,plain,,false,,,,,,,,,,,,28123
532392852,532392854,1392,9468f219f24f20a7f5d20cb0045269007282a57f,python,broken,1,python,,false,,,,,,,,,,,,28883
637919017,637919019,1500,57cba3818033236bbeaa890036b63342eb2936c7,python,ok,1,python,unittest,true,false,13,0,13,2,,,,,175.51,,30854
656257233,656257234,1556,0e5edaf64511036586f7c0661dc4af486eebfa4a,python,ok,1,python,unittest,true,false,13,0,13,2,,,,,166.86,,32799
691338522,691338523,1658,08cf6f112a4a57eb2adf522ce3a56ecd66538c66,python,ok,1,python,,false,,,,,,,,,,,,34647
