tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
490723891,490723893,113,3771bf4798957d392f90578e27e17ac63e42d005,python,broken,1,python,pytest,true,false,0,0,0,0,,,,,3.14,,2338
558346606,558346607,127,7c8a7fcc11e1b6685fd62df82ad9fb3ab47dd6a8,python,ok,1,python,pytest,true,false,37,0,37,0,,,,,3.37,,2390
600416685,600416686,140,1735d63de48fe40aa4aaef8bcbebbb68f11d2834,python,ok,2,python,pytest,true,false,37,0,37,0,,,,,3.2,,2537
603795505,603795507,154,ba20f5831f1775133067400953991093c44c87a2,python,ok,1,python,pytest,true,false,37,0,37,0,,,,,11.88,,2576
617850954,617850955,176,4118975bca343684902f1b4996f935a3decf25a9,python,ok,1,python,pytest,true,false,37,0,37,0,,,,,3.72,,2589
682321917,682321921,182,58bfcd782a2be11885d944cd322336ff6ec2120d,python,ok,1,python,pytest,true,false,37,0,37,0,,,,,14.88,,2595
682689461,682689465,189,15f59d8f5b461a4854c8a0fb7be33b4b69d53265,python,ok,1,python,pytest,true,false,37,0,37,0,,,,,14.94,,2596
711608722,711608724,210,5b0b60b00e2d59001c8f99e298fee8ae0e578f63,python,ok,0,python,pytest,true,false,37,0,37,0,,,,,11.21,,2596
714557945,714557946,224,241bd9e153d00881dc018cc7d9f8ae5b5ee9ae5d,python,ok,0,python,pytest,true,false,37,0,37,0,,,,,2.93,,2631
723752266,723752270,230,025c31917746bd1e5991f106433b9464d2f55ad4,python,ok,1,python,pytest,true,false,37,0,37,0,,,,,15.38,,2632
739143762,739143766,237,93795b55cd21d3aaf73b408013da2033d36ae809,python,ok,1,python,pytest,true,false,37,0,37,0,,,,,15.05,,2630
746478835,746478838,244,13a9b5b4cdc791e9ed147322a9b3901b68aa64ba,python,ok,1,python,pytest,true,false,37,0,37,0,,,,,9.89,,2630
169895906,169895907,45,e8cb347115949a20d810d3d48093b88e48d7957a,python,ok,0,python,pytest,true,false,23,0,23,0,,,,,4.44,,1908
318537775,318537776,70,1547992c68ab9ac786d8c7656078d7fa2c39c128,python,ok,0,python,pytest,true,false,23,0,23,0,,,,,5.39,,1917
414952719,414952720,84,5619b4d42469176f781a511d9c113f9f72c16c7c,python,ok,1,python,pytest,true,false,28,0,28,0,,,,,3.97,,2165
