tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
45368341,45368342,10,47179a976d1602e1748ed07e066401da66d520d8,python,ok,0,python,unittest,true,false,6,0,6,0,,,,,0.59,,2210
45735737,45735738,13,2d39aa69eed5a68018dad19892a9a06667791597,python,ok,0,python,unittest,true,false,11,0,11,0,,,,,0.71,,2512
45968245,45968246,16,5bde88e34c2af89c6cba4c66a324c25b312b3b8a,python,ok,1,python,unittest,true,false,11,0,11,0,,,,,1.62,,2556
47273843,47273844,21,1d50deaaee45fa8953762f2d3cd8ab691c6c70f1,python,ok,0,python,unittest,true,false,11,0,11,0,,,,,0.73,,2562
47906228,47906229,24,70d15a923e61f5803ce7cb15bedce39407778d81,python,ok,0,python,unittest,true,false,12,0,12,0,,,,,0.94,,2711
48066087,48066089,27,f311d6d6e91febf05df09c9ed9be02eaef89749f,python,ok,0,python,unittest,true,false,12,0,12,0,,,,,0.9,,2841
44960574,44960575,2,7975ba6529b7336055d3cc465f0159b27ec4aeca,python,ok,0,python,unittest,true,false,6,0,6,0,,,,,0.7,,2208
69024911,69024912,35,770ae9ac6d173e191f913af532b6022bc6c8ec81,python,unknown,0,python,,false,,,,,,,,,,,,3561
44963704,44963705,3,d23400cad36bd234d0679d02dfafc747396e009b,python,ok,0,python,unittest,true,false,6,0,6,0,,,,,0.77,,2208
115576369,115576370,54,28c6c774966ff0e469221f661fba0e45a7b54c7b,python,ok,1,python,unittest,true,false,12,0,12,0,,,,,0.65,,3796
45015476,45015477,5,f069b2f4a4b70dc85e360bd0e9eb636bbd123af8,python,ok,0,python,unittest,true,false,6,0,6,0,,,,,0.6,,2208
45248346,45248347,6,4bbab6f22220d453c48ebf23faccfbb0082eaf22,python,ok,0,python,unittest,true,false,6,0,6,0,,,,,0.55,,2208
182894944,182894945,75,ec99e1c7ffab5092b70a135f69b900dff0ba26f3,unknown,unknown,,plain,,false,,,,,,,,,,,,3822
240223175,240223176,85,393e9a539db341da8496c9424b875e09ad50a541,python,ok,1,python,unittest,true,false,12,0,12,0,,,,,1.14,,3822
