tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
704807863,704807864,10,ee38df6114d5b1b5873b95ec82aebddcc93c39aa,python,ok,1,python,pytest,true,false,31,0,31,0,,,,,21.9,,3131
754933974,754933977,125,838263204d14bc8b50f86cd12347f50a4201cf7e,python,ok,1,python,,false,,,,,,,,,,,,3247
760111179,760111183,151,cbc819c65d156b9f0537b3d00abef3262ce05737,python,ok,1,python,,false,,,,,,,,,,,,3247
707387781,707387782,16,75874bc694cd8c3f74c025b860be6a2cdd37fd77,python,ok,1,python,pytest,true,false,31,0,31,0,,,,,23.01,,3144
698962729,698962730,1,63ea7587d458b50b5f14981d9a34ac1faaf64c62,python,ok,1,python,pytest,true,false,31,0,31,0,,,,,19.9,,3128
713021642,713021643,26,429596193ce8eaf7eb955fabfec9fba9d0d35bf1,python,ok,1,python,pytest,true,false,31,0,31,0,,,,,21.84,,3145
715020289,715020290,29,988555793abec1978aa05045f54211c8c84f0e48,python,ok,1,python,pytest,true,false,31,0,31,0,,,,,21.25,,3145
715336463,715336464,34,fb5590e27b399ce31181a540fc3efacd3c0cd8c0,python,ok,1,python,pytest,true,false,31,0,31,0,,,,,21.9,,3139
715361697,715361698,39,680a299d9f691111c65b42c8a295b0add7d9eb4b,python,ok,1,python,pytest,true,false,31,0,31,0,,,,,21.69,,3144
716235789,716235790,43,9115497374c02fc8e8c360de4e5afd0c7d350cd0,python,ok,1,python,pytest,true,false,31,0,31,0,,,,,22.15,,3144
716371746,716371747,48,68c7d08a99169596528e75901163bac6b9733160,python,unknown,1,python,,false,,,,,,,,,,,,3144
716379847,716379848,50,970f35cbee80dde646809cc850b0e8bc4c2e6c44,python,unknown,1,python,,false,,,,,,,,,,,,3144
716392866,716392867,54,65119be129270546f2f2e07c4819e267cd3f5f41,python,ok,1,python,pytest,true,false,31,0,31,0,,,,,22.79,,3144
723308818,723308819,72,c3411c45efea27b22eb6f4ddddc7a456e00e10e6,python,ok,1,python,pytest,true,false,31,0,31,0,,,,,21.03,,3144
726630043,726630044,79,94ff4c0ae75ba3f6a47e71c5f52df52146a834ef,python,ok,1,python,pytest,true,false,31,0,31,0,,,,,20.29,,3144
727239918,727239920,82,2d02cce2265c490b8d69aae4b690d4f8be9cf69a,python,ok,1,python,pytest,true,false,33,0,33,0,,,,,20.59,,3190
733139726,733139731,85,d90cb39411da5365fc4a7a20a86f60bfed56eea8,python,ok,1,python,,false,,,,,,,,,,,,3191
