tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
523901176,523901177,100,4c12394c8adbcfed71dd912bdbef2e36370821bf,python,ok,6,python,pytest,true,false,2,0,2,0,,,,,12.21,,1235
193308097,193308101,11,c92101263346af353373d3a779c4f93164b52965,python,broken,3,python,unittest,true,true,0,7,7,0,,,,,0.44,,1118
353165298,353165300,17,e5573cb0b225d2e3a3d8fe476cae614ac68a1b65,python,broken,3,python,unittest,true,true,0,7,7,0,,,,,0.38,,1162
95216137,95216138,1,2b8e499f475dcd0042c04af713043badef14a314,python,unknown,2,python,,false,,,,,,,,,,,,1118
353181073,353181079,21,65787f09d7fe56c2555cfe6deefa54d18090c6e2,python,broken,6,python,unittest,true,true,0,7,7,0,,,,,0.28,,1090
353183482,353183487,24,ce0f1a3c42d8c2b7222a0ff05fb73c5f6e10e708,python,broken,2,python,unittest,true,true,0,7,7,0,,,,,1.62,,1089
353185623,353185627,27,b7a4b665b22b466e71cf577ea83c80abe2ad3f39,python,broken,2,python,unittest,true,true,0,7,7,0,,,,,0.48,,1091
95216524,95216527,2,3f6bdeb3ff4139a783ca4952f9068c4cc58a9fbb,python,unknown,2,python,,false,,,,,,,,,,,,1118
353199168,353199170,32,9ba8c13b3cd1b149eabb574d9fc0f3be6a5bf172,python,unknown,12,python,,false,,,,,,,,,,,,1127
353203763,353203764,35,3da3ed75cba42ea55a7bee8c8fc8db89390e680e,python,broken,6,python,unittest,true,true,0,7,7,0,,,,,0.62,,1133
353204786,353204792,37,0575acf21d25e4cf04ec3a1b933caf5214fd7912,python,unknown,7,python,,false,,,,,,,,,,,,1133
95216699,95216707,3,82a225169ef1cde21240daba3f8ae5662f53eac0,python,unknown,2,python,,false,,,,,,,,,,,,1118
353213626,353213630,42,78df8a29c9b6a1411906a3c87357f3d9d55828f1,python,broken,4,python,unittest,true,true,0,8,8,0,,,,,0.66,,1156
353244944,353244947,45,5052a511646f53a91d554b545e03881bb352a8ae,python,broken,4,python,unittest,true,true,0,8,8,0,,,,,0.6,,1156
95216810,95216812,4,cad78d1675b39825d70c2eba3b05283cb3bf5afe,python,broken,2,python,unittest,true,true,0,7,7,0,,,,,0.31,,1118
353264133,353264134,56,61995677a16fd71441b7557176e044387be58c3b,python,ok,2,python,pytest,true,false,2,0,2,0,,,,,10.48,,1173
523391761,523391762,73,97b82f367964c893a5bfbdaecbea9fa67ad2ec1c,python,broken,10,python,pytest,true,false,0,0,0,0,,,,,0.08,,1169
