tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
81582347,81582348,100,db3ba288519a4dc3fa7556d16e2ee677c574ae1f,python,ok,1,python,unittest,true,false,14,0,14,0,,,,,1.09,,686
252025200,252025228,141,9b6c85d1f0c7f02f0d15149a927b7330d08f68a6,python,ok,1,python,unittest,true,false,17,0,17,0,,,,,1.02,,941
335863859,335863885,157,574a579aa4d3828b319c4fb576437ad2ced0b03b,python,ok,1,python,unittest,true,false,19,0,19,0,,,,,1.01,,960
475483226,475483239,182,800bb014320e641bf40ceaf275291b4816414cbb,python,ok,1,python,unittest,true,false,20,0,20,0,,,,,1.19,,1000
512520583,512520594,190,8276d699f25dca7da58e6c3fcebbd46e1c3e35e9,python,ok,1,python,unittest,true,false,20,0,20,0,,,,,1.3,,986
691356908,691356923,198,70dabb2ef5af9a2202a2d713ab6d042f7fdda4e4,python,ok,1,python,unittest,true,false,20,0,20,0,,,,,1.32,,1004
758385219,758385267,212,45f4f52842be977b816548ff68cde2bde4851ab6,python,ok,1,python,unittest,true,false,21,0,21,0,,,,,0.97,,1024
25066501,25066508,33,8f7c7321c6adb04e4b9e38f88c4f2fd216bf2941,python,ok,,python,unittest,true,false,12,0,12,0,,,,,1.75,,599
29635858,29635864,52,951b29611df36454bb50f47210891b9fd8db785a,python,unknown,,python,,false,,,,,,,,,,,,586
66347408,66347429,89,0d89523ac61d2faf60ad017e196bf3c7b7d28953,python,unknown,0,python,,false,,,,,,,,,,,,638
