tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
127180944,127180945,100,6a11dd40fa56feb1e216ef12cc17bc90900c58be,python,ok,0,python,unittest,true,false,22,0,22,0,,,,,2.25,,1530
152779977,152779980,122,515f3e56eb5fa1ab43c472a254a1766001186182,python,ok,0,python,unittest,true,false,27,0,27,0,,,,,7.59,,1598
180061905,180061910,133,9c0bc9bc91ffb426e56ec51d19f156e3e05e640f,unknown,unknown,,plain,,false,,,,,,,,,,,,1624
220841671,220841674,156,3ef29d4e4e5e729850771884f0b00d237190c5bd,python,broken,1,python,unittest,true,true,4,23,27,0,,,,,10.99,,1650
291163508,291163512,167,8c638d0a571ddfbfadf1fc06f38e1264104f6e3d,python,ok,0,python,unittest,true,false,27,0,27,0,,,,,14.83,,1658
95172776,95172779,1,bb5e53c9edfabb92e6c103564cf70780b10be94c,python,ok,0,python,unittest,true,false,13,0,13,0,,,,,0.54,,646
412337160,412337162,214,5f1dd3faa1375fdba938fc33ecb5d034296bace9,python,ok,0,python,unittest,true,false,31,0,31,0,,,,,12.59,,1728
475717153,475717156,258,95838d68d4c2b935750dff921af40466b90dc4b6,python,ok,1,python,unittest,true,false,32,0,32,0,,,,,14.55,,1637
567928754,567928760,271,4dcd47ad099a7837049842670c6e6e0853558633,python,ok,2,python,unittest,true,false,32,0,32,0,,,,,13.95,,1641
671280862,671280865,286,53bc176ec58356b45ab778c978738b15fbdad0f0,python,broken,2,python,unittest,true,true,30,2,32,0,,,,test_composite_key#test_composite_key,12.1,,1646
95173599,95173601,2,d84f1b76fe7d45abeb7040605506d3a40bef78aa,python,ok,0,python,unittest,true,false,13,0,13,0,,,,,0.04,,646
123853898,123853908,60,7bb1945c7ec3a0d11bde4f521e4e08c77dadd17c,python,ok,0,python,unittest,true,false,19,0,19,0,,,,,3.32,,1121
124191718,124191719,77,4345bce52149890d4cdeb69b78e370acc68dcddf,python,ok,1,python,unittest,true,false,17,0,17,0,,,,,2.28,,1297
124421183,124421187,88,569eba3ebbef85870fe7a2648fd13331c53713ee,python,ok,0,python,unittest,true,false,25,0,25,0,,,,,4.88,,1417
