tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
95161861,95161862,10,f7aaf199e4f7f8828ee2ee4cc8d7e5f2fbff26eb,python,ok,1,python,unittest,true,false,9,0,9,0,,,,,15.82,,375
97016030,97016034,12,86394c615afa9470b82c3385500941b62f69ab44,python,ok,1,python,unittest,true,false,9,0,9,0,,,,,15.66,,375
98347103,98347105,16,a9a1bc79a6b66dcf76c765e58365ca4c0201a830,python,unknown,4,python,,false,,,,,,,,,,,,375
98351514,98351519,18,d3c6451a4f5d260a2845117d4b3ff22924bf9f4e,unknown,unknown,,plain,,false,,,,,,,,,,,,375
98899279,98899282,22,32376d02f45843545f38810f1c18478cdc6cb8a0,python,ok,1,python,unittest,true,false,9,0,9,0,,,,,15.99,,375
118702328,118702329,25,84308ab4a5b741a06206f5e65264e603bb54d22e,python,ok,1,python,unittest,true,false,9,0,9,0,,,,,16.99,,375
148989329,148989333,27,5a7b4e79bc9bd5b51739c0d8aaf644f62cc440e6,python,ok,1,python,unittest,true,false,9,0,9,0,,,,,9.8,,375
240075611,240075613,33,7ef9164dc141f369f5f92a1132b3ef9e12e95b73,python,unknown,1,python,unittest,true,false,9,0,9,0,,,,,10.86,,375
302318431,302318436,37,4ed13950c0a9cf61f1ca81ff1874cde1cf48ab32,python,ok,2,python,unittest,true,false,9,0,9,0,,,,,10.21,,375
328886810,328886817,40,4ed13950c0a9cf61f1ca81ff1874cde1cf48ab32,python,ok,2,python,unittest,true,false,9,0,9,0,,,,,11.16,,375
354171575,354171576,50,77d33f88f5bff6e1f9c2bd5b94c8c87d530d046e,python,ok,1,python,unittest,true,false,11,0,11,0,,,,,16.56,,412
354804824,354804826,52,7a4ea10d08b8a01b625f5df4c9ca173c9318bfe0,python,ok,2,python,unittest,true,false,11,0,11,0,,,,,25.79,,412
354850014,354850017,55,71a97aa92f0901d026a39810ad86a61f09e30cae,python,ok,2,python,unittest,true,false,12,0,12,0,,,,,23.66,,435
354860670,354860674,57,0ba9104386395a7236569061d04fe518cdafe9e8,python,ok,2,python,unittest,true,false,12,0,12,0,,,,,23.25,,435
354861767,354861772,59,ddc4bc6fa3b72dfb0f43bb14d036d61bac33ef3b,python,ok,2,python,unittest,true,false,12,0,12,0,,,,,20.89,,435
354870146,354870154,61,2251f669802eab1073681b78fd9afb30cb8749a6,unknown,unknown,,plain,,false,,,,,,,,,,,,437
354872136,354872137,64,bdbf58154ff779315e324feab25a3e0fdb42b4d1,python,ok,1,python,unittest,true,false,12,0,12,0,,,,,20.35,,437
354873603,354873605,66,ad7802f1c47e5c31a8e7dfedb3577e6c7d04844a,python,ok,2,python,unittest,true,false,12,0,12,0,,,,,22.11,,437
380190256,380190262,68,5350420d35177eda733d85096433a24e55f8d00e,python,ok,2,python,unittest,true,false,12,0,12,0,,,,,27.76,,438
380203444,380203448,70,5350420d35177eda733d85096433a24e55f8d00e,python,ok,4,python,unittest,true,false,12,0,12,0,,,,,29.99,,438
