tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
217551612,217551613,100,41f78ea9d1b172e8383537ba2a0f719e5b98e5f2,python,ok,0,python,pytest,true,false,182,0,182,0,,,,,7.75,,2757
231692047,231692051,109,e8505dad5e21011e8df002bff576371a1d95dae1,python,ok,1,python,pytest,true,false,190,0,190,0,,,,,8.91,,3035
263427975,263427979,118,7d4f5570ae3c4d9bb0042dc54da69bc2d87c56cd,python,ok,1,python,pytest,true,false,216,0,216,0,,,,,9.79,,3385
265502549,265502553,127,8377396122b8992551687f0ce0bfcd58f3662920,python,ok,1,python,pytest,true,false,137,0,137,0,,,,,7.43,,3897
269166692,269166696,136,481e481f37145de075cd756f250dc074c6934c45,python,ok,1,python,pytest,true,false,140,0,140,0,,,,,5.3,,4037
272456893,272456897,145,b5d628865c324857bca9e24fa1843134fe5650bc,python,ok,1,python,pytest,true,false,282,0,282,0,,,,,10.6,,4093
311350470,311350474,154,f9aa190f0bc14c39c34ff5aad55375168c7d1afd,python,ok,1,python,pytest,true,false,332,0,332,0,,,,,10.68,,4201
325909773,325909777,164,c81d0f157b488076c857d2b678496dd35f8b14b0,python,ok,1,python,pytest,true,false,434,0,434,0,,,,,14.46,,4947
332383948,332383952,173,5543ada2a6c21adb73fd087ee9eb7ad8d3bc8629,python,ok,1,python,pytest,true,false,216,0,216,0,,,,,3.83,,4961
359234052,359234062,182,7520007a1feced29ba20ed3cd3c759ccb38fdb53,python,ok,1,python,pytest,true,false,216,0,216,0,,,,,4.15,,5062
429288667,429288671,191,cc5a3ea696a4b0d9bcf9e5af2a7aa3262391bbe9,python,ok,1,python,pytest,true,false,220,0,220,0,,,,,3.74,,5170
465992958,465992961,200,dbebe2e579e05799b638ba969a328a09a7434253,python,ok,1,python,pytest,true,false,220,0,220,0,,,,,4.16,,5205
626267435,626267452,212,b5a07de2345533644dc58870bafafda94a037fbf,python,ok,1,python,pytest,true,false,220,0,220,0,,,,,4.23,,5221
655013045,655013048,228,78715bd71108a5044fc81bb12d43c7fc5378f47a,python,ok,1,python,pytest,true,false,217,0,217,0,,,,,3.41,,5146
179247807,179247810,2,a44c9b9a29df5c069d9ae0c692dce0ab0b4597b4,unknown,unknown,,plain,,false,,,,,,,,,,,,664
185432613,185432614,41,21bf69636990d3fad18875f0dc1eee03e789ced6,python,ok,0,python,pytest,true,false,34,0,34,0,,,,,0.92,,1030
188093082,188093085,52,7ec9a5b1af1f0448eb2f12a40c67a3072cf006f4,python,ok,1,python,pytest,true,false,42,0,42,0,,,,,3.32,,1458
191947652,191947655,64,a07ab5693b9b626690ac7fa3d3bca8dc213e484c,python,broken,0,python,pytest,true,true,212,1,213,0,,,,DagdaServerTestCase.test_DagdaServer,8.45,,2064
193825201,193825204,76,a99cc01d220877a8a70bf038c12a6cbbd3c6c4eb,python,ok,0,python,pytest,true,false,166,0,166,0,,,,,6.58,,2242
