tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
56327176,56327181,151,706655f241c8391d4d86bab202423afd92a75d68,python,ok,0,python,unittest,true,false,188,0,188,44,,,,,277.48,,4712
352752512,352752516,312,6dfd2a38ed049e8f3b196827297c78f35cc1b4f7,python,ok,1,python,unittest,true,false,223,0,223,37,,,,,211.17,,5252
377589557,377589564,475,6989769ce565a11037eae4044c03f634b06e19ef,python,unknown,1,python,pytest,true,false,306,0,306,24,,,,,32.04,,5800
389162757,389162764,513,d90c9942b3aa5fcedd7d1dc79d548644bc35409a,python,ok,0,python,pytest,true,false,319,0,319,25,,,,,39.51,,6087
403970299,403970304,560,77394d5838ea8c91855c7b6e9e34db33bdf61db4,python,ok,1,python,pytest,true,false,342,0,342,49,,,,,96.43,,6624
424645915,424645916,600,844163e8d68e5c452414408c5b803caf47446f85,python,ok,0,python,pytest,true,false,398,0,398,36,,,,,80.21,,7020
468648459,468648464,682,ff71a6dff80fd7f65ba3820411d9da363b4587ff,python,ok,4,python,pytest,true,false,443,0,443,27,,,,,89.65,,7963
640602738,640602747,778,b81969c355bc69aabb07f4ae20584a7187ffa13d,python,ok,5,python,pytest,true,false,484,0,484,29,,,,,150.76,,8286
685758511,685758512,830,4a3528ed1b273cea4e6d13bc88c35e73984e4822,python,ok,4,python,,false,,,,,,,,,,,,9087
700621110,700621115,878,cd3fbafeabf06ce55320fefb8150155242839497,python,ok,4,python,pytest,true,false,843,0,843,53,,,,,175.48000000000002,,9206
