tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
703025339,703025340,100,e41d9e4b61c1ad7c3fb90a5f49538a25cb8c5a7c,python,ok,1,python,,false,,,,,,,,,,,,1946
725937995,725937996,126,702525361f362975795d040dd38d361074406c6e,python,unknown,1,python,,false,,,,,,,,,,,,2144
424366989,424366991,13,209a3fa789382323ed197c2133a0b9af6398c026,python,ok,2,python,,false,,,,,,,,,,,,1786
434152521,434152522,18,0b6f5746b3293630c2115a7bd3920e0d9f2dcd5e,python,unknown,0,python,,false,,,,,,,,,,,,1786
434373906,434373907,22,ab8e7d19e33c3ef9d8d8b1954ecfa5437c9ca96f,python,ok,1,python,,false,,,,,,,,,,,,1786
442393081,442393082,27,ff40d1c89c17153845fc639a4b71f40c9cfb16f6,python,ok,1,python,,false,,,,,,,,,,,,1809
521510343,521510344,36,d544a7e47de0cafd51f9c0e685a38473faa4db47,python,ok,1,python,,false,,,,,,,,,,,,1822
529788412,529788413,40,0b8b64eb9b4965357e592b40e57080a5a36c5408,python,ok,4,python,,false,,,,,,,,,,,,1822
541474642,541474643,45,f18409c60982bcebc5799d506ff44d068fbde1e7,unknown,unknown,,plain,,false,,,,,,,,,,,,1849
418895903,418895904,4,49557b8b162e93b55ce3f360740bd9dcf8560831,python,ok,0,python,,false,,,,,,,,,,,,1785
543957980,543957981,54,6fd525a1c08ce0dda73b495c2d1ea57fd7eafc95,python,ok,1,python,,false,,,,,,,,,,,,1877
545972819,545972820,59,01f0f793cd10f92f824f8ff9341b07842a304eae,python,ok,1,python,,false,,,,,,,,,,,,1896
551735540,551735542,63,08e3db3112a7b469991761bfcf45c8925afebd64,python,ok,1,python,,false,,,,,,,,,,,,1903
552222696,552222697,68,a3ce61974d3057620421dd6e6c074ae359ac1ea3,unknown,unknown,,plain,,false,,,,,,,,,,,,1827
552296086,552296087,72,1ffbc68a92a26cf37ae634de9ee0cfeaa0899d78,python,unknown,1,python,,false,,,,,,,,,,,,1730
