tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
739212740,739212741,10002,68442ffc6d3058ca23ca0a8bb4993d2b74973437,unknown,unknown,,plain,,false,,,,,,,,,,,,24016
739212740,739212744,10002,68442ffc6d3058ca23ca0a8bb4993d2b74973437,unknown,unknown,,plain,,false,,,,,,,,,,,,24016
739212740,739212747,10002,68442ffc6d3058ca23ca0a8bb4993d2b74973437,unknown,unknown,,plain,,false,,,,,,,,,,,,24016
739225361,739225362,10005,6f8c84376cabef4f6ade222c5b37f2910e94ad1b,unknown,unknown,,plain,,false,,,,,,,,,,,,24016
739225361,739225365,10005,6f8c84376cabef4f6ade222c5b37f2910e94ad1b,unknown,unknown,,plain,,false,,,,,,,,,,,,24016
739225361,739225368,10005,6f8c84376cabef4f6ade222c5b37f2910e94ad1b,unknown,unknown,,plain,,false,,,,,,,,,,,,24016
739226856,739226857,10006,00d21d0655718faeb9240f76fa13ea218a0f4800,python,ok,1,python,,false,,,,,,,,,,,,24016
739226856,739226860,10006,00d21d0655718faeb9240f76fa13ea218a0f4800,python,ok,1,python,,false,,,,,,,,,,,,24016
739226856,739226863,10006,00d21d0655718faeb9240f76fa13ea218a0f4800,python,ok,26,python,,false,,,,,,,,,,,,24016
739226868,739226869,10007,6f8c84376cabef4f6ade222c5b37f2910e94ad1b,python,ok,1,python,,false,,,,,,,,,,,,24016
739226868,739226872,10007,6f8c84376cabef4f6ade222c5b37f2910e94ad1b,python,ok,1,python,,false,,,,,,,,,,,,24016
739226868,739226875,10007,6f8c84376cabef4f6ade222c5b37f2910e94ad1b,python,unknown,26,python,,false,,,,,,,,,,,,24016
739773433,739773434,10010,ae11af12383cc70377d7b30c613184de504cb93d,python,ok,1,python,,false,,,,,,,,,,,,24016
739773433,739773437,10010,ae11af12383cc70377d7b30c613184de504cb93d,python,ok,1,python,,false,,,,,,,,,,,,24016
