tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
102174742,102174743,100,fae6b43135b3c60db5d83ca7772838ae5b69b6db,python,ok,0,python,unittest,true,false,29,0,29,0,,,,,0.23,,12525
103707377,103707378,109,f9ecf0daa9badaee924db4345f21230c256ea82b,python,broken,5,python,unittest,true,true,1,3,4,0,,,,tests.test_bash1_test,0.17,,12483
105488334,105488335,117,92ec6f5a6ae7d6287ac47324ed028da5e74aaf41,python,ok,0,python,unittest,true,false,1,0,1,0,,,,,0.11,,12492
105967119,105967120,125,29a1d882829a9c7ce5fcee0de45b6427b9ba4322,python,ok,1,python,unittest,true,false,1,0,1,0,,,,,0.18,,12459
106072413,106072414,133,44efeac9e87b0d94f95ff4a6e0e4bee5311e666d,python,broken,0,python,unittest,true,true,152,1,153,0,,,,tests.help_text_test(<class,1.08,,12492
106138676,106138677,141,b6ab5120693b77f18fafaa1ee2f8fde6d239ee38,python,broken,0,python,unittest,true,true,0,1,1,0,,,,,0.06,,12527
110630085,110630086,153,f597b5b248be70df7e0fede4cfafc6395ac2582d,python,ok,0,python,unittest,true,false,161,0,161,0,,,,,1.14,,12573
145090165,145090166,161,86ef103d0135e7888da2dac746bcceca58f9ccf9,python,ok,1,python,unittest,true,false,185,0,185,0,,,,,1.75,,12639
185686248,185686249,181,bd25f78f257938eacde24d344692508f7a878695,python,ok,0,python,unittest,true,false,185,0,185,0,,,,,0.97,,12724
95000082,95000083,20,761493297851f3cd1d5f4a9cef3cbe908a8893dc,python,ok,0,python,unittest,true,false,1,0,1,0,,,,,0.09,,4210
188299729,188299730,237,20afa50795f60cbadd1134d3d0d1b3b3e7fff25c,python,ok,0,python,unittest,true,false,209,0,209,0,,,,,0.33,,13011
188762491,188762492,265,fe734d071a147ebfb0bf429d0ab03b3eec367652,python,ok,0,python,unittest,true,false,225,0,225,0,,,,,0.58,,13247
188900388,188900389,274,3766dbe48c303fa12440aa0e2e66a6f820b6efab,python,ok,5,python,unittest,true,false,225,0,225,0,,,,,0.28,,13256
98555575,98555576,29,82fa6f574d7ec4ef8b8f3a697e5adca5ea9d2e39,python,cancelled,0,python,,false,,,,,,,,,,,,4344
98722117,98722118,37,2f652000a12ffece7efb1a2c522a63229da72e7b,python,ok,0,python,unittest,true,false,10,0,10,0,,,,,0.06,,4399
98889226,98889227,45,d1a50abd633c5e5e988f4141d9f86ec771f00431,python,ok,1,python,unittest,true,false,10,0,10,0,,,,,0.06,,4413
99132876,99132877,53,18a94e8ccd1d598938c109ea268b20dcb1d449dd,python,ok,2,python,unittest,true,false,10,0,10,0,,,,,0.07,,4428
99363568,99363569,61,17bab801e337a58ef96d021abf1ff2704d7330d5,python,ok,0,python,unittest,true,false,26,0,26,0,,,,,0.24,,12109
94041765,94041766,6,681a48d42c0f2f828afc472041246b5dc68d58fe,python,unknown,0,python,,false,,,,,,,,,,,,660
99736111,99736113,78,13a0a06dfab53bc0e72684959a0c1a7855a636ed,python,ok,0,python,unittest,true,false,26,0,26,0,,,,,0.26,,12243
