tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
366880736,366880737,1016,2111be75341f2c72f254ddb470ee74f9deed48a9,python,ok,2,python,unittest,true,false,23299,0,23299,0,,,,,116.88,,23611
390323903,390323906,1125,979aa2a13b6392108f4e14a71646fceb087cd300,python,ok,2,python,unittest,true,false,39871,0,39871,0,,,,,104.52,,23836
447207477,447207482,1304,cc2fad20b42d751198f97dc171eb64ceb6db3b53,python,ok,2,python,unittest,true,false,39995,0,39995,0,,,,,87.83,,25915
459224243,459224252,1357,845281fb9e88457dae1e596b9c632d97e199512b,python,ok,2,python,unittest,true,false,39941,0,39941,0,,,,,112.55,,26085
481876424,481876437,1412,aaaac35e81c3057d23a6d5160b986002e4647822,python,ok,2,python,unittest,true,false,39996,0,39996,0,,,,,93.32,,26123
500919655,500919672,1483,250a9eb4f1f80cc6e430dcd146d83197e678672c,python,ok,2,python,,false,,,,,,,,,,,,26357
509868447,509868450,1523,1cbee537f88caf98607dd9d23aa8589fd7608f8a,python,ok,2,python,unittest,true,false,40292,0,40292,0,,,,,83.95,,27581
515371500,515371507,1555,32d0740a64a9b0cfb7285bfc36a4a1ddef06368d,python,ok,2,python,unittest,true,false,40297,0,40297,0,,,,,93.63,,27628
543917497,543917508,1590,1fa5f446a3239169984a77436d303bce2c50fd9f,python,ok,2,python,unittest,true,false,40299,0,40299,0,,,,,56.49,,27633
577558342,577558359,1623,b6450d5aa8c1513883184939dafef08baaa7ae65,c,ok,2,plain,,false,,,,,,,,,,,,28228
606201207,606201212,1658,2c458072bc07c5a0f5d3d53acf10380d9cbf3caf,unknown,unknown,,plain,,false,,,,,,,,,,,,28232
612290621,612290649,1707,efdb4065fc80262dbe65cdd0d02eac82d521f258,python,ok,2,python,unittest,true,false,40328,0,40328,0,,,,,93.91,,28271
744018949,744018960,1876,67c3f12990ec86d288b6ff5e6b2d1a43a6a1a099,python,ok,2,python,unittest,true,false,39559,0,39559,0,,,,,88.62,,28982
