tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
564317778,564317780,145,02821fe1c41bf64c715ff86f66cfa1e6a2a8c403,python,ok,1,python,unittest,true,false,121,0,121,0,,,,,12.49,,2575
628716218,628716221,212,a603ab65c560bd4deec97c7068c47740e1bce7e5,python,ok,1,python,unittest,true,false,126,0,126,0,,,,,7.21,,2593
647705130,647705131,235,7c804a6e15eb18cb143aed326e5c178256bcf02f,generic,unknown,2,plain,,false,,,,,,,,,,,,2622
722470760,722470765,248,b9f59cbfc261ac62993944e0120d1abace497936,python,ok,1,python,unittest,true,false,121,0,121,0,,,,,9.53,,2622
725696087,725696093,256,ca71e490b78e0f21966e5a6fd1e95f80f50b4de0,python,ok,1,python,unittest,true,false,121,0,121,0,,,,,7.48,,2622
306826657,306826659,27,15e9380d96f85ade0d89f618bc6667fdb5b5bc6e,python,ok,0,python,unittest,true,false,121,0,121,0,,,,,14.99,,2495
196441607,196441609,2,cfe2d047810cc54821bc3832e2076d373c643d0a,python,ok,0,python,unittest,true,false,112,0,112,0,,,,,6.09,,2336
728538773,728538776,309,9b492b829a327ab1e2c8c0e5ed7ccad23ecbc9dc,unknown,unknown,,plain,,false,,,,,,,,,,,,2557
729320860,729320864,316,5f0c650a540059f17846c543d68f384178b9d02f,python,ok,1,python,unittest,true,false,136,0,136,0,,,,,6.82,,2557
442175724,442175726,40,6ae738630a02d4e371621656f2e558deadea9bb2,python,ok,1,python,unittest,true,false,121,0,121,0,,,,,7.08,,2495
464872229,464872231,67,aeb9dae530372b8c7498e5906dac15778f3cab9d,python,unknown,1,python,,false,,,,,,,,,,,,2496
