tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
30094301,30094302,100,a6e0cf4e6ed7adad5f952c2489028e692c3fc048,python,ok,,python,unittest,true,false,4,0,4,0,,,,,1.34,,350
30408147,30408150,110,33a990bce65c23cd4c10804d8592057168bd1361,python,ok,,python,unittest,true,false,4,0,4,0,,,,,0.94,,346
30804525,30804527,122,c683a7f2612d60eb27f3c7a19727a090f7d5a65b,python,ok,,python,unittest,true,false,20,0,20,0,,,,,1.15,,428
31203499,31203503,132,fc5bbe84eb3b33d614ebc8ebebedac1ad8145175,python,ok,,python,unittest,true,false,25,0,25,0,,,,,0.85,,468
32644604,32644606,143,07b567ce3a12bc2ea7b3216b7b67b81487085f35,python,ok,,python,unittest,true,false,26,0,26,0,,,,,1.89,,498
36809005,36809009,153,ed8627b0bee0ed1ffed1bc42dbc9ace6e45410cd,python,ok,,python,unittest,true,false,36,0,36,0,,,,,1.67,,537
44899677,44899679,164,2986acb2802254541fd4a6bfc27be38f9726fbd8,python,ok,0,python,unittest,true,false,39,0,39,0,,,,,1.5,,572
65799544,65799545,195,993bbc0b01840d641dd5843f2dab20fdfdbc1e1f,python,ok,0,python,unittest,true,false,41,0,41,0,,,,,1.82,,602
66821571,66821573,205,a291c8b65cb02817905003593be80c6d385cbee6,python,ok,0,python,unittest,true,false,41,0,41,0,,,,,1.88,,626
129044553,129044554,215,3f78ce9b404776d4d8f3a08843db106625a76df6,python,ok,2,python,unittest,true,false,45,0,45,0,,,,,1.92,,649
511278501,511278507,221,739c1c67fa7b32af9140ca51e4b4a07733e057a6,python,ok,1,python,unittest,true,false,45,0,45,0,,,,,1.37,,649
28727322,28727326,36,670dff66ad337ee2cc80d779ace4ee75184b9ed2,unknown,unknown,,plain,,false,,,,,,,,,,,,250
28996082,28996084,47,d9af77a167707c2044d60081b4475c55f5e815f4,unknown,unknown,,plain,,false,,,,,,,,,,,,256
29109734,29109738,57,026795516411284c470b21fa203e203048a2c32b,unknown,unknown,,plain,,false,,,,,,,,,,,,292
29230159,29230161,68,365c9529ed81d0ab9dbc0ba6a67dd36c2d376724,unknown,unknown,,plain,,false,,,,,,,,,,,,284
29537561,29537565,78,6d37c25e752e51a1ce01f1a897903c072b5864da,unknown,unknown,,plain,,false,,,,,,,,,,,,281
29750849,29750851,89,af5ece4e8d2690a9dbd492fa3c37aea34898261d,unknown,unknown,,plain,,false,,,,,,,,,,,,286
