tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
20423783,20423784,10,d9143f8b8e707754a7f5ad8ee458078ac5796450,python,broken,,python,unittest,true,true,55,2,57,0,,,,,0.31,,1377
20425424,20425427,15,c6b044250751ab76f25c4aa0ba33d143dc2bea7a,python,ok,,python,unittest,true,false,91,0,91,0,,,,,1.11,,1517
18500922,18500924,1,7ae7e126d88465dec991054c26ab9b1a9d23ed28,python,ok,,python,unittest,true,false,78,0,78,0,,,,,0.87,,1338
30371630,30371632,28,88ccd666a0d41ef29f23e95367efb271bad68d37,python,ok,,python,unittest,true,false,108,0,108,0,,,,,0.8,,1697
30604796,30604801,31,e9b6bb0ceb4225a656888cdba8a67517dd11b3fe,unknown,ok,,plain,,false,,,,,,,,,,,,1735
30991775,30991777,36,e53ae572ac6c232a6afc01ae9ad2988ea1ef456a,python,ok,,python,unittest,true,false,121,0,121,0,,,,,1.01,,1842
18683336,18683341,3,a0e4fbfca7b96bb4147ea4f1ef2de18c68ebc92f,unknown,ok,,plain,,false,,,,,,,,,,,,1338
58992740,58992742,52,1a9aa8e10edb7f229034b39200b0eae0fd2cec93,python,ok,0,python,unittest,true,false,119,0,119,0,,,,,0.95,,1867
59061348,59061352,56,f8422917cd0347b0bb662c4dcd888be17803387e,python,ok,0,python,unittest,true,false,120,0,120,0,,,,,0.38,,1873
64855992,64855996,64,a9ae9526826995117725b6530ecfd11d93143659,python,ok,0,python,unittest,true,false,131,0,131,0,,,,,0.4,,1918
65801439,65801440,69,4284c11d00ae1397983e269aa180e5cf7ee5f4cf,python,ok,0,python,unittest,true,false,131,0,131,0,,,,,0.53,,1896
19778382,19778385,8,4b3311a566f32dcc8ca34ed3d36a53fda519b038,python,ok,,python,unittest,true,false,79,0,79,0,,,,,0.72,,1343
