tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
26531375,26531376,11,c413b98d98e22b0493c6eca7f7d4e90c91a0cf4f,python,ok,,python,unittest,true,false,66,0,66,0,,,,,0.05,,767
175531982,175531988,146,b1d9b6eedc0e6d578cc96682a9ecd41cef0a7872,unknown,unknown,,plain,,false,,,,,,,,,,,,1067
221772027,221772050,163,e668e37c5faf41b68429466ed70f7abba582cce9,python,ok,0,python,unittest,true,false,104,0,104,0,,,,,0.04,,1086
223639318,223639341,166,04829316a106583ae559604247a68425c4c19045,python,ok,1,python,unittest,true,false,104,0,104,0,,,,,0.05,,1085
223649422,223649443,169,7e50e3420b8aeaac48f0555a5949d2fb189fec77,python,ok,0,python,unittest,true,false,104,0,104,0,,,,,0.48,,1085
266758282,266758288,194,628ed38e540ec9a6f3aff622953948e54f14a76d,python,ok,1,python,unittest,true,false,108,0,108,0,,,,,0.08,,1109
34299648,34299656,23,2f452fb9e9ccab90fe26e3840ea87d25568ac8ce,python,ok,,python,unittest,true,false,67,0,67,0,,,,,0.04,,824
396476952,396476963,266,b32c07d7ed57cdeaef246f995a29e5fe39a076b3,python,ok,0,python,unittest,true,false,120,0,120,0,,,,,0.05,,1217
62401669,62401674,43,c31a9e7daf00af0ee9eb33d541be8601334b595d,python,ok,0,python,unittest,true,false,67,0,67,0,,,,,0.03,,824
81199829,81199847,79,99490a7dae283958071136d0e3db934c5ea182e1,python,ok,1,python,unittest,true,false,74,0,74,0,,,,,0.04,,948
81811491,81811516,90,dd321578e3b4079bb929f7010b20207ede145a05,python,ok,0,python,unittest,true,false,76,0,76,0,,,,,0.04,,977
