tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
540567987,540567988,100,ff021cbfc957ad318ab61e14f4bc869c0fe7a96b,python,ok,1,python,,false,,,,,,,,,,,,1218
554997925,554997928,109,832d5cbac47c431f22aa9b2134da181af987cc84,python,ok,1,python,,false,,,,,,,,,,,,1221
624409677,624409679,116,ab92057a3249e0c608e3910824e6081a33515e64,python,ok,1,python,,false,,,,,,,,,,,,1221
682802674,682802676,123,10c515887abc84b1ece01f8227c4b7ef8b5b96c4,python,ok,1,python,,false,,,,,,,,,,,,1221
697244674,697244676,130,8b92cad848520cf4431f8e19ea8c007afb90a1b7,python,ok,1,python,,false,,,,,,,,,,,,1221
750546459,750546460,138,94a5e54600dacb9eb02b4bce87643273eb9277cf,python,ok,1,python,,false,,,,,,,,,,,,1226
757685323,757685324,152,2518daf0f6f7e194ee081349c29d02a8a86edece,python,ok,1,python,,false,,,,,,,,,,,,1433
759443496,759443498,159,93bc1a12b9b9ca0a23f5e98739373ed35f693e64,python,ok,1,python,,false,,,,,,,,,,,,1432
759719623,759719625,167,a17698464d255d9c451bf70fa52a990fa402ffda,python,ok,1,python,,false,,,,,,,,,,,,1425
463455614,463455615,23,2d5b5b9d3901e61e85fe4295a76b52134808c5bb,python,unknown,109,python,,false,,,,,,,,,,,,1079
471505087,471505089,31,5e9043a44a11b503d3608cbf38a556c410242910,python,ok,1,python,,false,,,,,,,,,,,,1087
471697762,471697763,39,a58a443ee723f8af2a8a19fc24702f3c6b266cbc,python,ok,1,python,,false,,,,,,,,,,,,1124
476724150,476724151,46,766ceab31e67bda46ca1174293c4e958f3046c8d,python,ok,1,python,,false,,,,,,,,,,,,1124
481148815,481148816,53,9e70b53bf4ebfae8171437c1f79705fad5fdb2f8,python,ok,1,python,,false,,,,,,,,,,,,1727
484905809,484905810,60,e8471873c5b127daa2b855975e4744ca8aae92d4,python,ok,1,python,,false,,,,,,,,,,,,1726
504216612,504216614,67,8d57309574a957dd56e14bd9ed961542d34f1d04,python,ok,1,python,,false,,,,,,,,,,,,1216
507657448,507657450,74,7a7cf808c43c1a8157659ce9bbde09bd36ce0c2a,python,ok,1,python,,false,,,,,,,,,,,,2058
507673138,507673140,81,2d249d459bd449254f67df2af5e642bc8d039e93,python,ok,1,python,,false,,,,,,,,,,,,2058
