tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
42279482,42279483,10,baaa2e54bb4f2d2769b4f871fa760b49075a3714,python,ok,0,python,unittest,true,false,3,0,3,0,,,,,0.44,,393
42731128,42731129,13,cfa87cb54345ef89a15c1c74893713f2582084dc,python,ok,0,python,unittest,true,false,3,0,3,0,,,,,0.49,,394
42732424,42732428,14,b11f6db86ca00166b41531d8aeabd15a26a50ec7,python,ok,0,python,unittest,true,false,3,0,3,0,,,,,0.64,,394
60184131,60184133,17,4e8d6c7cbb6674b72c99f5b0b80e4e37a6a6536a,python,ok,0,python,unittest,true,false,3,0,3,0,,,,,0.55,,394
83538016,83538017,23,94d0a752338f7c7d2e2729f7e1242b3aca2795c4,python,ok,0,python,unittest,true,false,3,0,3,0,,,,,0.49,,394
134969604,134969605,26,dd752ff8cc1320fae90277bee752fa7fd8121c4d,python,ok,1,python,unittest,true,false,3,0,3,0,,,,,0.24,,394
148219369,148219370,29,d3fd15d76b2e0be55c6fe454875a1114aa8a3f24,python,ok,1,python,unittest,true,false,3,0,3,0,,,,,0.36,,397
211979819,211979820,31,ba1d58f18357c7827557d95e63b686aa6caf22ec,python,unknown,1,python,,false,,,,,,,,,,,,396
238591012,238591013,34,5a395eb740ce144d34c1b52a11cc23b13bd027a2,python,unknown,1,python,,false,,,,,,,,,,,,396
245271826,245271827,37,c7b2368a03c742a8f9fb65086c190a92dc9e4898,python,unknown,1,python,,false,,,,,,,,,,,,398
42072762,42072765,3,714d9f65722c44b3aee44c8330c107a021757163,python,ok,0,python,unittest,true,false,1,0,1,0,,,,,0.6,,228
253444300,253444301,43,41d35f3efe2da56dfa5f5c17fe4ca5d1777c1fb0,python,ok,1,python,unittest,true,false,3,0,3,0,,,,,0.31,,398
42186516,42186519,4,17011ba92b009b968f739e6d160d533dd483232f,python,ok,0,python,unittest,true,false,1,0,1,0,,,,,0.81,,377
451250764,451250768,56,0c286e359c90d40a895695307ab4d2a64bce179e,python,ok,1,python,unittest,true,false,2,0,2,0,,,,,0.08,,403
42186714,42186717,5,1e6cf58fed7cea839676773678741d8b0375050d,python,ok,1,python,unittest,true,false,1,0,1,0,,,,,1.02,,377
