tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
523414316,523414317,100,949a5c7d1437537d891ab811baf4522609dd236d,python,ok,2,python,pytest,true,false,86,0,86,0,,,,,5.35,,3948
532595972,532595977,123,4a1b3cb83fb804fc7887c43fa409657c26071449,python,ok,1,python,pytest,true,false,86,0,86,0,,,,,5.74,,5884
543672275,543672276,135,a0229e808ab96a4972cf64e00c3e5e0f9e18ed33,python,ok,1,python,pytest,true,false,86,0,86,0,,,,,5.32,,5960
546610774,546610777,142,8e8d78f00e0cb3cde701af3b775495e4f2690221,python,ok,1,python,pytest,true,false,86,0,86,0,,,,,5.819999999999999,,5967
554603239,554603241,154,a068577a9d6a0f12a68c192be15a08c292b8bf45,python,ok,1,python,pytest,true,false,86,0,86,0,,,,,5.92,,6123
594922251,594922255,165,6f9312b7a06ac88500331d9cbc6807b7c3c84674,python,ok,1,python,,false,,,,,,,,,,,,8114
601695310,601695313,183,6ac031214c78c005cb6b239616d855cde1ef1389,python,ok,1,python,pytest,true,false,86,0,86,0,,,,,8.06,,8237
410687266,410687268,23,e2d9746cbfa11379f5d16a81197fccba0b922af0,python,broken,1,python,pytest,true,true,84,4,88,0,,,,test_count_html_line#test_scan#test_count_html_line#test_scan,7.41,,3612
410690936,410690940,26,0b7e0a234c8c5d86b6aa476721d30663fdb62f90,python,ok,0,python,pytest,true,false,86,0,86,0,,,,,6.12,,3610
738883299,738883301,362,d617798c68ae510b1d5eb9429e388d2202a02363,python,ok,1,python,,false,,,,,,,,,,,,11983
424633037,424633043,44,a9776cc74cda105dbcb5ee646a20acb5af0ee867,python,ok,2,python,pytest,true,false,86,0,86,0,,,,,10.08,,3743
429463448,429463450,56,575f28923e8d6ec065f0a7d99e3b04852b05045c,python,ok,0,python,pytest,true,false,86,0,86,0,,,,,7.130000000000001,,3770
329793684,329793690,6,e9e363338b53e27209b9261a764d4a7f7f83b904,python,ok,2,python,pytest,true,false,88,0,88,0,,,,,31.330000000000002,,3505
520582049,520582051,81,949fa324d049e66c555b04a2dbcdbd8ef4e4a636,python,ok,1,python,pytest,true,false,86,0,86,0,,,,,5.54,,3820
