tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
568813695,568813697,2036,ef29dab2c80e7d5497f288deb7a817b873a188ab,generic,unknown,1,plain,,false,,,,,,,,,,,,7018
583130917,583130926,2077,82104fb68e6cf2b469622e62169cdbeac93846cb,python,ok,1,python,unittest,true,false,484,0,484,0,,,,,383.95,,7052
597242572,597242578,2117,82104fb68e6cf2b469622e62169cdbeac93846cb,python,ok,1,python,unittest,true,false,484,0,484,0,,,,,461.78999999999996,,7052
602839468,602839475,2191,7fcbfed1ef1b3ad038b339dcd6005f1f23145094,python,ok,1,python,unittest,true,false,432,0,432,0,,,,,406.14,,6912
609626282,609626289,2238,35f82506d19ef2602053304b36b93d06111d25af,python,ok,1,python,unittest,true,false,434,0,434,0,,,,,418.57,,6911
623161854,623161861,2269,35f82506d19ef2602053304b36b93d06111d25af,python,ok,1,python,unittest,true,false,434,0,434,0,,,,,413.96000000000004,,6911
634729449,634729453,2300,35f82506d19ef2602053304b36b93d06111d25af,generic,unknown,1,plain,,false,,,,,,,,,,,,6911
646860096,646860099,2331,35f82506d19ef2602053304b36b93d06111d25af,generic,unknown,2,plain,,false,,,,,,,,,,,,6911
658213871,658213873,2362,5dc299b7889461c49b27ec8ced1050b5a3f9099c,generic,unknown,1,plain,,false,,,,,,,,,,,,6912
674065094,674065103,2423,d99d7dcf463a9d6acb3bb125b698c8bed3360361,python,ok,1,python,unittest,true,false,436,0,436,0,,,,,372.36,,6945
683851250,683851258,2454,9e017e6ee9856f490368878c8f9bbd20940d111d,python,ok,1,python,unittest,true,false,440,0,440,0,,,,,292.01,,7008
690626766,690626774,2485,0d14ec6452f108c7b644d53ddc29ced4cf8b986e,python,ok,1,python,unittest,true,false,456,0,456,0,,,,,288.82,,7103
698948235,698948241,2516,465717fdaf2cb260a1c4b230925a537afc22cedb,python,ok,1,python,unittest,true,false,456,0,456,0,,,,,370.88,,7104
707659806,707659818,2547,6ef69a797db0afe781b5ddcd74691767f8261a53,python,ok,1,python,unittest,true,false,458,0,458,0,,,,,466.62,,7112
717626100,717626116,2578,6ef69a797db0afe781b5ddcd74691767f8261a53,generic,unknown,1,plain,,false,,,,,,,,,,,,7112
726779896,726779907,2609,6ef69a797db0afe781b5ddcd74691767f8261a53,generic,unknown,1,plain,,false,,,,,,,,,,,,7112
742978220,742978223,2671,6ef69a797db0afe781b5ddcd74691767f8261a53,generic,unknown,1,plain,,false,,,,,,,,,,,,7112
