tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
13027263,13027264,10,86d888983e494b7948255312c9325fb20f73988d,python,ok,,python,unittest,true,false,6,0,6,0,,,,,0.29,,83
29234884,29234886,14,ea405cd85c7c0203e11356371d2255938932d122,python,ok,,python,unittest,true,false,7,0,7,0,,,,,0.22,,134
35909078,35909080,17,2bca61383c16ed15469563297aaefe65b6f67056,python,ok,,python,unittest,true,false,7,0,7,0,,,,,0.32,,134
8125796,8125798,1,f2f00eb8771898fdbe8386155b99556be8125292,python,ok,,python,unittest,true,false,4,0,4,0,,,,,0.17,,63
91114452,91114455,25,0505063eab7b450fa5d5aa57b5fd6ae6124523d2,python,ok,0,python,unittest,true,false,7,0,7,0,,,,,0.21,,134
95725372,95725378,27,825f0471d71d21e23233c46376bcdd7dd367c43e,python,ok,1,python,unittest,true,false,7,0,7,0,,,,,0.3,,128
8125891,8125892,2,c255bef0dac7ac8991b0a91fdf9f19d728f3ce9f,python,ok,,python,unittest,true,false,4,0,4,0,,,,,0.08,,63
115829540,115829545,31,841e0de9efe84e925cbc730e3aa76866d1e2099a,python,ok,1,python,unittest,true,false,7,0,7,0,,,,,0.13,,155
383582365,383582366,34,81d57b17f207227ebc9548fd797d525ed49d5695,python,ok,1,python,unittest,true,false,7,0,7,0,,,,,0.15,,158
441551055,441551057,36,3599c101f659bb7cfbc7e5c5c5684206e4fab5f9,python,ok,1,python,unittest,true,false,7,0,7,0,,,,,0.13,,160
749060729,749060732,38,3886dc2f26cce733c1e489e3c79cd6b5a4c2714d,unknown,unknown,,plain,,false,,,,,,,,,,,,238
749190869,749190871,40,2c62670e15b7079c9e853e80cea7654abb8f2f88,unknown,unknown,,plain,,false,,,,,,,,,,,,234
749192199,749192200,42,7717a9646ceced76aa84e51908e307fc12bd7b1f,python,ok,1,python,unittest,true,false,19,0,19,0,,,,,0.38,,234
749405511,749405512,44,df3ef0d904f8305cbeeaed23c9b6d077802d6e4c,python,ok,1,python,unittest,true,false,19,0,19,0,,,,,0.49,,229
749523178,749523181,48,b36d2cee6f8a82c6b634517742193f4371d57b2d,python,ok,1,python,,false,,,,,,,,,,,,224
749546573,749546575,50,f6ec5d380c02f017af73220c3f186a34c9b9e98e,python,ok,1,python,,false,,,,,,,,,,,,221
749762322,749762325,52,b66d0ffc08a5c338447fe09c9dc7928ddd1b6984,python,ok,1,python,,false,,,,,,,,,,,,221
750801423,750801427,54,799e53080c3a30d79f1e3ec1d92eeb737a091bd2,python,ok,1,python,,false,,,,,,,,,,,,221
