tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
74330257,74330259,136,bfe6426c64171f8f3afb5980fe58b74bb0fae732,python,ok,0,python,pytest,true,false,37,0,37,0,,,,,3.55,,1213
91337959,91337961,178,e320784843b4030ee80c976eb446174306d12662,python,ok,1,python,pytest,true,false,38,0,38,0,,,,,3.15,,1190
135410270,135410278,286,32e763d8e4407eba322f2f63d13992a1345ba749,python,ok,1,python,pytest,true,false,48,0,48,0,,,,,3.7,,1440
186095496,186095503,374,5fdd9882e5a2bfb1249d8c16d8c6f771e2434a4d,python,ok,1,python,pytest,true,false,116,0,116,0,,,,,6.41,,1971
35719351,35719364,40,8a75df604d7cf76967edb9d98f6f3494c7868a24,python,ok,,python,pytest,true,false,30,0,30,0,,,,,3.73,,996
35800773,35800776,43,53ce62d8207e970594d642ae42bb2e00b78e7f39,python,ok,,python,pytest,true,false,30,0,30,0,,,,,3.6,,996
283249933,283249945,546,e9b314d4c11c22b89e010934cc31c14a3fb0276f,python,ok,1,python,pytest,true,false,123,0,123,0,,,,,5.43,,2034
289726574,289726579,589,1f134dd8f2f8abce760babf4f1e75389cd7ef0ae,python,ok,1,python,pytest,true,false,123,0,123,0,,,,,5.61,,2053
447816076,447816081,773,57d0f020a6694125f863ecf7d9b380899f1ea4b5,python,ok,1,python,pytest,true,false,417,0,417,0,,,,,56.790000000000006,,2215
32625082,32625089,8,3b09a1d6c78abe6d7d2ac3eb1066ba340f401ff7,python,broken,,python,,false,,,,,,,,,,,,890
