tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
483701217,483701218,10,659aa6b1b7887ae7ae09b840a272f1d3dce9a958,python,broken,23,python,pytest,true,true,711,5,716,0,,,,TestAskPathGui.test_get_path_gui#TestAskPathGui.test_no_path_raises_fr#TestAskPathGui.test_no_path_to_file_raises_fr#TestRxWindow.test_print_to_active_window_with_date_change_and_whisper,23.74,,15953
483712983,483712984,12,c696de9cf4e85b60e895e0e22cbd1d9261ab9619,python,ok,23,python,pytest,true,false,713,0,713,3,,,,,23.02,,15956
501037865,501037866,14,3eb4f3671db9d6120c7c88a3a8c23d66b1f6ff37,python,unknown,78,python,,false,,,,,,,,,,,,16058
501043147,501043148,16,63d625e9fd6790b60079503e75059e7b06709e82,python,ok,22,python,pytest,true,false,725,0,725,3,,,,,24.9,,16058
220393327,220393328,1,29f285b1f476752f66518cbeb0252b828032b1b4,python,ok,0,python,pytest,true,false,321,0,321,4,,,,,134.02,,10544
575577835,575577836,21,e7e7f9a57c4ed06adcd7e71c07f55de6b1483fe6,python,ok,25,python,pytest,true,false,744,0,744,3,,,,,71.4,,16446
575610201,575610202,23,da105fe2bbe8d76f16b5d62f7db837f9b4582833,python,ok,30,python,pytest,true,false,752,0,752,3,,,,,79.54,,16534
612482158,612482159,25,f098a709f256257d2b3ddf5a7ec7d73478ef5c14,python,ok,72,python,,false,,,,,,,,,,,,25341
644934195,644934196,27,0202e4faa0e0e67c7e8d03d1ad947a6edbe4122c,python,ok,19,python,,false,,,,,,,,,,,,26418
659108213,659108214,29,0ac650c2fe8a1548da25ea2a5e549b56e68f6138,python,ok,25,python,,false,,,,,,,,,,,,26661
679322097,679322098,30,78e8b6d37961dcff767e3f9c699352902a86d1a5,python,ok,19,python,,false,,,,,,,,,,,,26661
734147306,734147307,32,6ae64aa802531c0f848410cf98777a2b4b3a8352,python,ok,22,python,,false,,,,,,,,,,,,26636
748871214,748871215,37,72ad6c5f5fc1bd06282110308374b8163abaaaf2,python,ok,20,python,,false,,,,,,,,,,,,26769
748892742,748892743,39,2d33fcf3e99031bda47154cff91256484e255257,python,ok,20,python,,false,,,,,,,,,,,,26769
757173979,757173980,40,2d33fcf3e99031bda47154cff91256484e255257,unknown,unknown,,plain,,false,,,,,,,,,,,,26769
757202812,757202813,43,2d33fcf3e99031bda47154cff91256484e255257,unknown,unknown,,plain,,false,,,,,,,,,,,,26769
758157495,758157496,46,2d33fcf3e99031bda47154cff91256484e255257,unknown,unknown,,plain,,false,,,,,,,,,,,,26769
758188335,758188336,49,2d33fcf3e99031bda47154cff91256484e255257,unknown,unknown,,plain,,false,,,,,,,,,,,,26769
