tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
141472592,141472594,10,bad7f4511e833b1ee17a2e1efb8cd04c11586eaf,python,ok,13,python,pytest,true,false,26,0,26,0,,,,,0.21,,631
155765223,155765224,11,9f21808a94abbe17dc917fedb294933c103b5529,python,unknown,19,python,,false,,,,,,,,,,,,507
155774832,155774833,16,94661149b6bcf1f70c1ed023836da68ca3bb036b,python,ok,18,python,pytest,true,false,28,0,28,0,,,,,1.08,,511
155776524,155776525,17,94661149b6bcf1f70c1ed023836da68ca3bb036b,python,ok,18,python,pytest,true,false,28,0,28,0,,,,,1.04,,511
155802920,155802921,18,bb39bf03f04a1c363275ef06fbe7826c41c537ec,python,ok,19,python,pytest,true,false,28,0,28,0,,,,,1.18,,511
160870946,160870947,19,e295ab600f4f6acad735160d8cc15be4ce0d0f08,python,broken,29,python,pytest,true,false,0,0,0,0,,,,,0.77,,991
104504602,104504603,1,7ebce0e88f53d52c9b1bff3cf5db3efb1966068a,python,unknown,2,python,,false,,,,,,,,,,,,631
160875408,160875409,20,e4e56bce57fd0b128d428c58b40fc2cf404a680d,python,broken,21,python,pytest,true,true,3,1,4,0,,,,test_import_rpath_solib_from_zip,0.78,,994
104511285,104511286,7,6c55e10d92cecebf558a84a6bd833dcf4f057c84,python,ok,61,python,,false,,,,,,,,,,,,631
104513224,104513225,8,a9150a277005f0c7f87fad909d6713fdbd87c899,python,ok,18,python,,false,,,,,,,,,,,,631
