tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
706321367,706321368,130,569163cdd1b45b3e936bc86cef0bdc892071d94a,python,ok,2,python,unittest,true,false,12,0,12,0,,,,,93.77,,4445
707175002,707175003,174,0e9e7b0350843cbf75e58dfb263c24a0aca9f29a,python,ok,2,python,unittest,true,false,12,0,12,0,,,,,84.77,,4434
707509814,707509815,205,c9bcc1ef23d73f69295eeb49c6fa8f92ee0528f4,python,ok,2,python,unittest,true,false,12,0,12,0,,,,,73.6,,4452
711829959,711829960,372,fd691f7841660d77131185cfd998f2a5f0a4a26d,python,ok,2,python,unittest,true,false,16,0,16,0,,,,,258.67,,4883
705200760,705200761,3,d7909234ff2a4a21778447b3176f2fe17ffd920b,unknown,broken,,plain,,false,,,,,,,,,,,,4411
714535976,714535977,442,4ec100ade89cea076bc5730461ce266a2458e9fc,python,ok,3,python,unittest,true,false,20,0,20,0,,,,,556.91,,5177
717713443,717713444,486,3bc0d758643d9daa92f44b78b15226631ce4e7c7,python,ok,4,python,unittest,true,false,21,0,21,0,,,,,582.28,,5232
705200875,705200881,4,85f6e8592c90679515ceeaf9f599eec9855e7fa8,python,unknown,3,python,,false,,,,,,,,,,,,4411
729503041,729503042,540,e4c81386d49dd8b53b6d3e6cec53dd1667d14c5e,python,ok,2,python,unittest,true,false,22,0,22,0,,,,,407.05,,5535
705529817,705529818,64,c8c83ed5e6ffe8e745339e93ebc1e09976fda21d,unknown,unknown,,plain,,false,,,,,,,,,,,,4418
