tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
507759517,507759518,1289,4744fb0d96f548a5a93cff20885be4d471b2759b,ruby,ok,5,ruby,,false,,,0,,,,,,,,,4310
507765470,507765471,1290,4744fb0d96f548a5a93cff20885be4d471b2759b,ruby,ok,3,ruby,,false,,,0,,,,,,,,,4310
508410248,508410249,1300,c73bf3132ae7bd9dc9b5583650ede9f1e0463b47,ruby,ok,1,ruby,,false,,,0,,,,,,,,,4310
508410785,508410786,1301,c73bf3132ae7bd9dc9b5583650ede9f1e0463b47,ruby,ok,1,ruby,,false,,,0,,,,,,,,,4310
525289221,525289222,1366,b33b76f51590179a4e5f24d981ebda2faea8f3a7,minimal,ok,2,plain,,false,,,,,,,,,,,,5107
525289235,525289236,1367,b33b76f51590179a4e5f24d981ebda2faea8f3a7,minimal,ok,2,plain,,false,,,,,,,,,,,,5107
587840009,587840010,1488,b33b76f51590179a4e5f24d981ebda2faea8f3a7,minimal,ok,1,plain,,false,,,,,,,,,,,,5107
587849612,587849613,1489,d3042db6e1ea0800f838891cdf6034dcfda6e0da,minimal,ok,2,plain,,false,,,,,,,,,,,,5677
650779061,650779062,1627,7eb0c1159876e27f2c72dd22b0a9aac5e8918609,shell,ok,1,plain,,false,,,,,,,,,,,,12084
650779140,650779141,1628,7eb0c1159876e27f2c72dd22b0a9aac5e8918609,shell,ok,1,plain,,false,,,,,,,,,,,,12084
