tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
563127707,563127710,1023,0d3d630104aa19ee89dd78288aee96f55efd0c45,python,broken,1,python,pytest,true,true,62,1,63,0,,,,ExampleWorldTest.test_basic,1.37,,11193
566998188,566998192,1033,b28073c3a737ec8997d8777454e4615de2804e04,python,ok,1,python,pytest,true,false,62,0,62,1,,,,,1.04,,11231
576935732,576935737,1052,4f619cbaef961d8a95f86742f5ed10c03a00a56e,python,ok,1,python,,false,,,,,,,,,,,,11287
603324278,603324280,1062,240a02a2dc208a27881eb16f30a55c5b0d6946e3,python,ok,1,python,pytest,true,false,62,0,62,1,,,,,1.11,,11296
612211863,612211867,1071,87e0e3b7c0d733f47c423364eaaeffd26cdbd8c9,python,ok,1,python,,false,,,,,,,,,,,,11318
628813074,628813076,1081,e7c9a2c49e332fa185aea1fb77a5afeaba2ef511,python,ok,1,python,pytest,true,false,62,0,62,1,,,,,0.94,,11385
648757182,648757186,1108,1c5c77bcbca72164c11c24b9614a7866b8317399,python,unknown,1,python,,false,,,,,,,,,,,,11468
650044616,650044618,1118,6fdf78c35f349ca521a15fca1ee2347f0f98317e,python,ok,1,python,pytest,true,false,62,0,62,1,,,,,0.91,,11475
702028838,702028842,1146,1355f8c49e365918cffc8763303394638bd38bf8,python,ok,1,python,,false,,,,,,,,,,,,11758
702757635,702757637,1160,f6b7e67b8546adee1cedc3e09b08b7857f6b40c1,python,ok,1,python,pytest,true,false,62,0,62,1,,,,,0.9,,11772
706595241,706595245,1170,8c0028495dd3ef745efdae9b06020f8686ab4fdc,python,ok,1,python,,false,,,,,,,,,,,,11773
