tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
63564427,63564428,100,43453415c0ffef285414a43c56d0baa9f6234d5a,python,ok,1,python,unittest,true,false,48,0,48,0,,,,,2.13,,1394
103075790,103075793,144,b393ebb54ad272edfd3a036097211c2acc4e0cc4,python,broken,8,python,unittest,true,true,36,22,58,0,,,,test_tables,1.92,,1512
141972695,141972701,191,927f88bbd5fe918ca3ddf4642ef1a41370888b30,python,ok,1,python,unittest,true,false,62,0,62,0,,,,,2.23,,1630
232860568,232860575,225,a4601fdf1568b23680c6787e0b65f40f07354ac5,python,ok,1,python,unittest,true,false,62,0,62,0,,,,,2.58,,1615
271211200,271211214,238,a2748b7fde2ff0c7198fd5bd8c41657d39d124f7,python,ok,1,python,unittest,true,false,63,0,63,0,,,,,3.36,,1633
273651901,273651903,252,44b49a6bb9e4a7ae1c207023c4a1460888c39e7d,python,ok,1,python,unittest,true,false,49,0,49,0,,,,,0.98,,1150
19749677,19749678,26,d5ae74afbfd56ef8bf08d8c2bf1faa47701ffc67,python,ok,,python,unittest,true,false,31,0,31,0,,,,,7.6,,1157
385352974,385352984,293,38a59b921e530730ef9f242a3458e5d40b1ad44c,python,ok,1,python,unittest,true,false,50,0,50,0,,,,,2.79,,1187
489962789,489962792,318,22b64ee4806017e8ba59a94def7f19c8fd3573f2,python,ok,4,python,unittest,true,false,51,0,51,0,,,,,0.56,,1227
558223543,558223548,331,4c46cd2594eea1d0eeed1f096d7b77a6c5bda684,python,ok,4,python,unittest,true,false,51,0,51,0,,,,,0.94,,1225
635674380,635674383,366,71b9421d6089f1639fe2aeb204d6158f219d9091,python,ok,4,python,unittest,true,false,54,0,54,0,,,,,1.12,,1301
