tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
100239609,100239610,100,189fe2dd3519984dbfc533451abc4c75e7a6812b,python,broken,1,python,unittest,true,true,269,14,283,1,,,,,0.53,,8344
101356091,101356094,110,7bb47277329d8701289a6ba16b21f25f818ec1ec,python,ok,1,python,,false,,,,,,,,,,,,8966
101519710,101519712,120,94b6594a3bd70f25584f11f87a856fc51b0442f5,python,ok,2,python,,false,,,,,,,,,,,,9104
108150929,108150931,131,464771103884e18e237b72a324623802d607a19a,python,ok,1,python,,false,,,,,,,,,,,,9146
161367496,161367499,141,94d8ca2199cf9df262d8a0017ce7bd640d279d18,python,ok,1,python,,false,,,,,,,,,,,,9026
161758731,161758733,151,8145b3429feea6dd922428e29afde0311d94109f,python,ok,1,python,,false,,,,,,,,,,,,9240
224480537,224480540,175,e948bb88470f681b6e3e804e416d5610ea4818f6,python,ok,1,python,,false,,,,,,,,,,,,8907
261806117,261806121,182,961067b7f4c7a9fee508614332bb1298d939ffdd,python,ok,1,python,,false,,,,,,,,,,,,8917
353910850,353910851,196,765d0e5c291f854e0d492371899580a676291858,python,ok,1,python,,false,,,,,,,,,,,,8892
396258608,396258610,210,2f091a10f135c661591d0ab8eb88da21b1b4aada,python,ok,2,python,,false,,,,,,,,,,,,8900
453758128,453758130,226,a4d0ab11bf4d0effb69ebd9f4f685cf7ab26719b,python,ok,1,python,,false,,,,,,,,,,,,9106
465007148,465007154,234,3b8bfc4791fa30b2b6cd3f614cba0b822a1cacd9,python,ok,3,python,,false,,,,,,,,,,,,1105
465416240,465416243,240,db9d319ab1be20403f7cb30ef67ff72fa33e3832,python,ok,1,python,,false,,,,,,,,,,,,1105
532977432,532977437,246,0a5274e58618a6a95a27e76195e9d08a9383b95f,python,ok,3,python,,false,,,,,,,,,,,,1215
21091406,21091407,25,bd77d67b0cfd6801bfcc519378ae9e6fc6393f1e,python,ok,,python,unittest,true,false,193,0,193,0,,,,,0.37,,5073
33392077,33392081,57,c2817ff0d8223b65e19bb0c532ce1d0a9de663ec,python,ok,,python,unittest,true,false,199,0,199,0,,,,,0.54,,5276
60551715,60551717,77,6eec3b2c4cf4599f21332b14d8b5e401148777ad,python,ok,0,python,unittest,true,false,222,0,222,0,,,,,0.55,,5956
63819443,63819446,87,a2ea6bd3e4839c1883d56bfc75fd90879fd150fb,python,ok,0,python,unittest,true,false,225,0,225,0,,,,,0.95,,6062
