tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
93953618,93953619,110,01610ceb10149db4d7371ede1f80813a8c04a4cc,python,ok,,python,pytest,true,false,493,0,493,0,,,,,5.19,,16624
93954155,93954158,111,01610ceb10149db4d7371ede1f80813a8c04a4cc,python,ok,,python,pytest,true,false,492,0,492,1,,,,,8.93,,16624
107800431,107800433,170,1d9837d134a3a813977130905725ccb6c554e592,ruby,ok,,ruby,,false,,,0,,,,,,,,,18117
119629518,119629519,195,046d891d6438a0fd6b677f54f508234ee320a32e,ruby,ok,,ruby,,false,,,0,,,,,,,,,18104
122164823,122164826,198,046d891d6438a0fd6b677f54f508234ee320a32e,ruby,ok,,ruby,,false,,,0,,,,,,,,,18104
160201843,160201848,258,20138ac9db3e1d95be4379757d5c35ba42feb478,ruby,ok,,ruby,,false,,,0,,,,,,,,,18268
160205412,160205414,261,5bd53b449ccf033533505984c99c9ecf0fab5ef3,ruby,ok,,ruby,,false,,,0,,,,,,,,,18268
65123123,65123124,38,fe046301e57a19c8a3948f4fc11916bebb53bf27,python,ok,,python,pytest,true,false,439,0,439,0,,,,,13.11,,14165
606392154,606392155,451,414c8740e2b26a21116aac0eeaf3c0284f309a87,ruby,broken,,ruby,,false,,,0,,,,,,,,,19849
606392154,606392160,451,414c8740e2b26a21116aac0eeaf3c0284f309a87,unknown,unknown,,plain,,false,,,,,,,,,,,,19849
66127360,66127370,45,bddc294b89e1ad786f36e766878d57806ab4bd64,python,ok,,python,pytest,true,false,440,0,440,0,,,,,12.65,,14198
69058495,69058496,51,56dbf3dcf494964b69cff4695c2b47a6692d7d5f,python,ok,,python,pytest,true,false,441,0,441,0,,,,,7.16,,14228
69964416,69964420,56,726b74c6e467b7fd0d45c8880e458be1785a9308,python,ok,,python,pytest,true,false,442,0,442,0,,,,,10.58,,14237
