tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
134888239,134888240,179,df2b56c9854ced8006b8a1542ec9296c0b25ae58,python,ok,1,python,unittest,true,false,110,0,110,1,,,,,4.0,,147670
136573573,136573574,188,5a2082ede523160f853e09731a3ca1b1a851294e,python,ok,1,python,unittest,true,false,110,0,110,1,,,,,3.12,,147670
174896116,174896117,217,0a805a01f30bb85a1f87f09447bd47aca923c4ba,unknown,unknown,,plain,,false,,,,,,,,,,,,147768
180439432,180439433,226,b71c0d8b939e8d17f4f9e02d1c3a0eae641a85a6,unknown,unknown,,plain,,false,,,,,,,,,,,,147877
105711376,105711379,23,5eeab858d1b5e37de256a4617a191df01f884174,python,ok,1,python,unittest,true,false,0,0,0,0,,,,,0.0,,145856
207528523,207528524,255,8c1621f604cd3681d72d247593b011b9f659c960,python,ok,8,python,unittest,true,false,110,0,110,1,,,,,3.74,,148215
209878734,209878736,262,50185ab3d3151f69190efca765b44510b59fcc40,python,ok,2,python,unittest,true,false,110,0,110,1,,,,,6.55,,148229
467709913,467709914,433,6208fe0e697825b49689b2f83e09d0b6d1144e98,python,ok,2,python,unittest,true,false,92,0,92,1,,,,,1.65,,154655
110656508,110656510,68,4b3b8d27954c96aaccbe79faca1110f5d972c484,python,ok,1,python,unittest,true,false,97,0,97,1,,,,,2.96,,146657
111804789,111804791,81,130cf51cc67a997cf05aac5e933d9bf69b365eab,python,ok,1,python,unittest,true,false,97,0,97,1,,,,,5.97,,147139
